data,codiEstacio,codiVariable,valor
2024-11-09,DP,1600,0.0
2024-11-09,DG,1600,0.0
2024-11-09,CG,1600,0.0
2024-11-08,ZE,1600,0.0
2024-11-08,ZC,1600,0.0
2024-11-08,ZB,1600,0.0
2024-11-08,Z9,1600,0.0
2024-11-08,Z7,1600,0.0
2024-11-08,Z6,1600,0.0
2024-11-08,Z5,1600,0.0
2024-11-08,Z3,1600,0.0
2024-11-08,Z2,1600,0.0
2024-11-08,Z1,1600,0.0
2024-11-08,YN,1600,0.0
2024-11-08,XR,1600,0.0
2024-11-08,XK,1600,0.0
2024-11-08,XH,1600,0.0
2024-11-08,X5,1600,0.0
2024-11-08,VS,1600,0.0
2024-11-08,DP,1600,0.0
2024-11-08,DG,1600,0.0
2024-11-08,CG,1600,0.0
2024-11-07,ZE,1600,0.0
2024-11-07,ZC,1600,0.0
2024-11-07,ZB,1600,0.0
2024-11-07,Z9,1600,0.0
2024-11-07,Z7,1600,0.0
2024-11-07,Z6,1600,0.0
2024-11-07,Z5,1600,0.0
2024-11-07,Z3,1600,0.0
2024-11-07,Z2,1600,0.0
2024-11-07,Z1,1600,0.0
2024-11-07,YN,1600,0.0
2024-11-07,XR,1600,0.0
2024-11-07,XK,1600,0.0
2024-11-07,XH,1600,0.0
2024-11-07,X5,1600,0.0
2024-11-07,VS,1600,0.0
2024-11-07,DP,1600,0.0
2024-11-07,DG,1600,0.0
2024-11-07,CG,1600,0.0
2024-11-06,ZE,1600,0.0
2024-11-06,ZC,1600,0.0
2024-11-06,ZB,1600,0.0
2024-11-06,Z9,1600,0.0
2024-11-06,Z7,1600,0.0
2024-11-06,Z6,1600,0.0
2024-11-06,Z5,1600,0.0
2024-11-06,Z3,1600,0.0
2024-11-06,Z2,1600,0.0
2024-11-06,Z1,1600,0.0
2024-11-06,YN,1600,0.0
2024-11-06,XR,1600,0.0
2024-11-06,XK,1600,0.0
2024-11-06,XH,1600,0.0
2024-11-06,X5,1600,0.0
2024-11-06,VS,1600,0.0
2024-11-06,DP,1600,0.0
2024-11-06,DG,1600,0.0
2024-11-06,CG,1600,0.0
2024-11-05,ZE,1600,0.0
2024-11-05,ZC,1600,0.0
2024-11-05,ZB,1600,0.0
2024-11-05,Z9,1600,0.0
2024-11-05,Z7,1600,0.0
2024-11-05,Z6,1600,0.0
2024-11-05,Z5,1600,0.0
2024-11-05,Z3,1600,0.0
2024-11-05,Z2,1600,0.0
2024-11-05,Z1,1600,0.0
2024-11-05,YN,1600,0.0
2024-11-05,XR,1600,0.0
2024-11-05,XK,1600,0.0
2024-11-05,XH,1600,0.0
2024-11-05,X5,1600,0.0
2024-11-05,VS,1600,0.0
2024-11-05,DP,1600,0.0
2024-11-05,DG,1600,0.0
2024-11-05,CG,1600,0.0
2024-11-04,ZE,1600,0.0
2024-11-04,ZC,1600,0.0
2024-11-04,ZB,1600,0.0
2024-11-04,Z9,1600,0.0
2024-11-04,Z7,1600,0.0
2024-11-04,Z6,1600,0.0
2024-11-04,Z5,1600,0.0
2024-11-04,Z3,1600,0.0
2024-11-04,Z2,1600,0.0
2024-11-04,Z1,1600,0.0
2024-11-04,YN,1600,0.0
2024-11-04,XR,1600,0.0
2024-11-04,XK,1600,0.0
2024-11-04,XH,1600,0.0
2024-11-04,X5,1600,0.0
2024-11-04,VS,1600,0.0
2024-11-04,DP,1600,0.0
2024-11-04,DG,1600,0.0
2024-11-04,CG,1600,0.0
2024-11-03,ZE,1600,0.0
2024-11-03,ZC,1600,0.0
2024-11-03,ZB,1600,0.0
2024-11-03,Z9,1600,0.0
2024-11-03,Z7,1600,0.0
2024-11-03,Z6,1600,0.0
2024-11-03,Z5,1600,0.0
2024-11-03,Z3,1600,0.0
2024-11-03,Z2,1600,0.0
2024-11-03,Z1,1600,0.0
2024-11-03,YN,1600,0.0
2024-11-03,XR,1600,0.0
2024-11-03,XK,1600,0.0
2024-11-03,XH,1600,0.0
2024-11-03,X5,1600,0.0
2024-11-03,VS,1600,0.0
2024-11-03,DP,1600,0.0
2024-11-03,DG,1600,0.0
2024-11-03,CG,1600,0.0
2024-11-02,ZE,1600,0.0
2024-11-02,ZC,1600,0.0
2024-11-02,Z7,1600,1.0
2024-11-02,Z6,1600,5.0
2024-11-02,Z3,1600,0.0
2024-11-02,Z1,1600,0.0
2024-11-02,YN,1600,6.0
2024-11-02,XH,1600,35.0
2024-11-02,DP,1600,2.0
2024-11-02,CG,1600,13.0
2024-11-01,ZE,1600,0.0
2024-11-01,ZC,1600,0.0
2024-11-01,ZB,1600,0.0
2024-11-01,Z9,1600,0.0
2024-11-01,Z7,1600,2.0
2024-11-01,Z6,1600,0.0
2024-11-01,Z5,1600,0.0
2024-11-01,Z3,1600,0.0
2024-11-01,Z2,1600,0.0
2024-11-01,Z1,1600,0.0
2024-11-01,YN,1600,0.0
2024-11-01,XR,1600,0.0
2024-11-01,XK,1600,0.0
2024-11-01,XH,1600,0.0
2024-11-01,X5,1600,0.0
2024-11-01,VS,1600,0.0
2024-11-01,DP,1600,0.0
2024-11-01,DG,1600,0.0
2024-11-01,CG,1600,0.0
2024-10-31,ZE,1600,0.0
2024-10-31,ZC,1600,0.0
2024-10-31,ZB,1600,0.0
2024-10-31,Z9,1600,0.0
2024-10-31,Z7,1600,6.0
2024-10-31,Z6,1600,0.0
2024-10-31,Z5,1600,0.0
2024-10-31,Z3,1600,0.0
2024-10-31,Z2,1600,0.0
2024-10-31,Z1,1600,0.0
2024-10-31,YN,1600,0.0
2024-10-31,XR,1600,0.0
2024-10-31,XK,1600,0.0
2024-10-31,XH,1600,0.0
2024-10-31,X5,1600,0.0
2024-10-31,VS,1600,0.0
2024-10-31,DP,1600,0.0
2024-10-31,DG,1600,0.0
2024-10-31,CG,1600,0.0
2024-10-30,ZE,1600,0.0
2024-10-30,ZC,1600,0.0
2024-10-30,ZB,1600,0.0
2024-10-30,Z9,1600,0.0
2024-10-30,Z7,1600,10.0
2024-10-30,Z6,1600,0.0
2024-10-30,Z5,1600,0.0
2024-10-30,Z3,1600,0.0
2024-10-30,Z2,1600,0.0
2024-10-30,Z1,1600,0.0
2024-10-30,YN,1600,0.0
2024-10-30,XR,1600,0.0
2024-10-30,XK,1600,0.0
2024-10-30,XH,1600,0.0
2024-10-30,X5,1600,0.0
2024-10-30,VS,1600,0.0
2024-10-30,DP,1600,0.0
2024-10-30,DG,1600,0.0
2024-10-30,CG,1600,0.0
2024-10-29,ZE,1600,0.0
2024-10-29,ZC,1600,0.0
2024-10-29,ZB,1600,0.0
2024-10-29,Z9,1600,0.0
2024-10-29,Z7,1600,12.0
2024-10-29,Z6,1600,0.0
2024-10-29,Z5,1600,0.0
2024-10-29,Z3,1600,0.0
2024-10-29,Z2,1600,1.0
2024-10-29,Z1,1600,0.0
2024-10-29,YN,1600,0.0
2024-10-29,XR,1600,0.0
2024-10-29,XK,1600,0.0
2024-10-29,XH,1600,0.0
2024-10-29,X5,1600,0.0
2024-10-29,VS,1600,0.0
2024-10-29,DP,1600,0.0
2024-10-29,DG,1600,0.0
2024-10-29,CG,1600,0.0
2024-10-28,ZE,1600,0.0
2024-10-28,ZC,1600,0.0
2024-10-28,ZB,1600,3.0
2024-10-28,Z9,1600,0.0
2024-10-28,Z7,1600,14.0
2024-10-28,Z6,1600,0.0
2024-10-28,Z5,1600,0.0
2024-10-28,Z3,1600,0.0
2024-10-28,Z2,1600,4.0
2024-10-28,Z1,1600,0.0
2024-10-28,YN,1600,0.0
2024-10-28,XR,1600,0.0
2024-10-28,XK,1600,0.0
2024-10-28,XH,1600,0.0
2024-10-28,X5,1600,0.0
2024-10-28,VS,1600,0.0
2024-10-28,DP,1600,0.0
2024-10-28,DG,1600,0.0
2024-10-28,CG,1600,0.0
2024-10-27,ZE,1600,0.5
2024-10-27,ZC,1600,2.0
2024-10-27,ZB,1600,4.379310344827586
2024-10-27,Z9,1600,0.0
2024-10-27,Z7,1600,16.13793103448276
2024-10-27,Z6,1600,9.448275862068966
2024-10-27,Z5,1600,12.23529411764706
2024-10-27,Z3,1600,0.62962962962963
2024-10-27,Z2,1600,6.0
2024-10-27,Z1,1600,0.214285714285714
2024-10-27,YN,1600,5.413793103448276
2024-10-27,XR,1600,12.36842105263158
2024-10-27,XK,1600,0.4
2024-10-27,XH,1600,45.6551724137931
2024-10-27,X5,1600,0.047619047619048
2024-10-27,VS,1600,0.0
2024-10-27,DP,1600,1.655172413793103
2024-10-27,DG,1600,0.0
2024-10-27,CG,1600,11.0
2024-10-26,ZE,1600,0.210526315789474
2024-10-26,ZC,1600,2.0
2024-10-26,ZB,1600,3.044444444444444
2024-10-26,Z9,1600,1.03125
2024-10-26,Z7,1600,11.268292682926829
2024-10-26,Z6,1600,5.210526315789474
2024-10-26,Z5,1600,10.48780487804878
2024-10-26,Z3,1600,2.085714285714286
2024-10-26,Z2,1600,4.0
2024-10-26,Z1,1600,0.291666666666667
2024-10-26,YN,1600,5.708333333333333
2024-10-26,XR,1600,17.195121951219512
2024-10-26,XK,1600,1.142857142857143
2024-10-26,XH,1600,46.1875
2024-10-26,X5,1600,0.105263157894737
2024-10-26,VS,1600,0.0
2024-10-26,DP,1600,2.020833333333333
2024-10-26,DG,1600,0.0
2024-10-26,CG,1600,11.195652173913045
2024-10-25,ZE,1600,0.0
2024-10-25,ZC,1600,0.0
2024-10-25,ZB,1600,0.666666666666667
2024-10-25,Z9,1600,0.0
2024-10-25,Z7,1600,0.625
2024-10-25,Z6,1600,4.837209302325581
2024-10-25,Z5,1600,3.258064516129032
2024-10-25,Z3,1600,0.439024390243902
2024-10-25,Z2,1600,2.0
2024-10-25,Z1,1600,0.425531914893617
2024-10-25,YN,1600,4.125
2024-10-25,XR,1600,12.027027027027028
2024-10-25,XK,1600,0.8125
2024-10-25,XH,1600,27.229166666666668
2024-10-25,X5,1600,0.068181818181818
2024-10-25,VS,1600,0.0
2024-10-25,DP,1600,2.416666666666667
2024-10-25,DG,1600,0.0
2024-10-25,CG,1600,8.680851063829786
2024-10-24,ZE,1600,0.0
2024-10-24,ZC,1600,0.104166666666667
2024-10-24,ZB,1600,0.295454545454545
2024-10-24,Z9,1600,0.0
2024-10-24,Z7,1600,0.0
2024-10-24,Z6,1600,3.704545454545454
2024-10-24,Z5,1600,2.903225806451613
2024-10-24,Z3,1600,0.090909090909091
2024-10-24,Z2,1600,0.0
2024-10-24,Z1,1600,0.212765957446809
2024-10-24,YN,1600,4.208333333333333
2024-10-24,XR,1600,11.75
2024-10-24,XK,1600,1.041666666666667
2024-10-24,XH,1600,37.145833333333336
2024-10-24,X5,1600,0.6875
2024-10-24,VS,1600,0.0
2024-10-24,DP,1600,2.666666666666667
2024-10-24,DG,1600,0.0
2024-10-24,CG,1600,9.1875
2024-10-23,ZE,1600,0.0
2024-10-23,ZC,1600,0.0
2024-10-23,ZB,1600,0.6
2024-10-23,Z9,1600,0.0
2024-10-23,Z7,1600,0.0
2024-10-23,Z6,1600,5.526315789473684
2024-10-23,Z5,1600,3.970588235294118
2024-10-23,Z3,1600,0.0
2024-10-23,Z2,1600,0.0
2024-10-23,Z1,1600,0.1875
2024-10-23,YN,1600,4.104166666666667
2024-10-23,XR,1600,16.6
2024-10-23,XK,1600,1.166666666666667
2024-10-23,XH,1600,39.583333333333336
2024-10-23,X5,1600,0.520833333333333
2024-10-23,VS,1600,0.0
2024-10-23,DP,1600,2.291666666666667
2024-10-23,DG,1600,2.607142857142857
2024-10-23,CG,1600,9.229166666666668
2024-10-22,ZE,1600,0.0
2024-10-22,ZC,1600,0.125
2024-10-22,ZB,1600,1.296296296296296
2024-10-22,Z9,1600,0.16
2024-10-22,Z7,1600,0.0
2024-10-22,Z6,1600,5.13953488372093
2024-10-22,Z5,1600,2.439024390243902
2024-10-22,Z3,1600,0.0
2024-10-22,Z2,1600,0.0
2024-10-22,Z1,1600,0.604166666666667
2024-10-22,YN,1600,3.979166666666667
2024-10-22,XR,1600,14.08
2024-10-22,XK,1600,1.041666666666667
2024-10-22,XH,1600,37.0625
2024-10-22,X5,1600,0.78125
2024-10-22,VS,1600,0.0
2024-10-22,DP,1600,3.625
2024-10-22,DG,1600,3.833333333333333
2024-10-22,CG,1600,8.479166666666668
2024-10-21,ZE,1600,0.0
2024-10-21,ZC,1600,0.0625
2024-10-21,ZB,1600,1.395833333333333
2024-10-21,Z9,1600,0.0
2024-10-21,Z7,1600,0.0
2024-10-21,Z6,1600,5.063829787234043
2024-10-21,Z5,1600,2.833333333333333
2024-10-21,Z3,1600,0.116279069767442
2024-10-21,Z2,1600,0.0
2024-10-21,Z1,1600,0.326086956521739
2024-10-21,YN,1600,3.375
2024-10-21,XR,1600,9.620689655172416
2024-10-21,XK,1600,0.958333333333333
2024-10-21,XH,1600,36.0
2024-10-21,X5,1600,0.708333333333333
2024-10-21,VS,1600,0.0
2024-10-21,DP,1600,7.770833333333333
2024-10-21,DG,1600,4.25
2024-10-21,CG,1600,9.291666666666668
2024-10-20,ZE,1600,0.0
2024-10-20,ZC,1600,0.0
2024-10-20,ZB,1600,1.659090909090909
2024-10-20,Z9,1600,0.0
2024-10-20,Z7,1600,0.0
2024-10-20,Z6,1600,7.6875
2024-10-20,Z5,1600,5.428571428571429
2024-10-20,Z3,1600,0.419354838709677
2024-10-20,Z2,1600,0.0
