data,codiEstacio,codiVariable,valor
2025-02-01,ZE,1000,-5.759090909090909
2025-02-01,ZD,1000,-7.386363636363637
2025-02-01,ZC,1000,-6.927272727272728
2025-02-01,ZB,1000,-6.790909090909091
2025-02-01,Z9,1000,-4.559090909090909
2025-02-01,Z7,1000,-6.325
2025-02-01,Z6,1000,-5.7
2025-02-01,Z5,1000,-6.5
2025-02-01,Z3,1000,-4.529545454545455
2025-02-01,Z2,1000,-6.513636363636365
2025-02-01,Z1,1000,-5.763636363636364
2025-02-01,YS,1000,9.629545454545454
2025-02-01,YR,1000,7.963636363636363
2025-02-01,YQ,1000,8.018181818181818
2025-02-01,YP,1000,8.593181818181819
2025-02-01,YO,1000,4.968181818181818
2025-02-01,YN,1000,0.6613636363636364
2025-02-01,YM,1000,6.645454545454545
2025-02-01,YL,1000,7.322727272727272
2025-02-01,YK,1000,5.679545454545455
2025-02-01,YJ,1000,3.1818181818181817
2025-02-01,YH,1000,2.7068181818181816
2025-02-01,YG,1000,2.797727272727273
2025-02-01,YF,1000,7.795454545454546
2025-02-01,YE,1000,3.145454545454545
2025-02-01,YD,1000,3.968181818181818
2025-02-01,YC,1000,3.634090909090909
2025-02-01,YB,1000,5.797727272727273
2025-02-01,YA,1000,0.8454545454545456
2025-02-01,Y6,1000,4.038636363636363
2025-02-01,Y5,1000,8.404545454545454
2025-02-01,Y4,1000,1.9318181818181817
2025-02-01,XZ,1000,9.045454545454543
2025-02-01,XY,1000,2.6795454545454547
2025-02-01,XX,1000,3.5727272727272723
2025-02-01,XV,1000,5.884090909090909
2025-02-01,XU,1000,5.597727272727273
2025-02-01,XT,1000,3.3840909090909093
2025-02-01,XS,1000,7.093181818181819
2025-02-01,XR,1000,0.1363636363636363
2025-02-01,XQ,1000,3.7454545454545456
2025-02-01,XP,1000,4.2681818181818185
2025-02-01,XO,1000,3.6568181818181817
2025-02-01,XN,1000,2.540909090909091
2025-02-01,XM,1000,3.05
2025-02-01,XL,1000,6.790909090909091
2025-02-01,XK,1000,-2.727272727272727
2025-02-01,XJ,1000,7.652272727272727
2025-02-01,XI,1000,3.325
2025-02-01,XH,1000,4.240909090909091
2025-02-01,XG,1000,6.911363636363637
2025-02-01,XF,1000,5.888636363636365
2025-02-01,XE,1000,8.031818181818181
2025-02-01,XD,1000,1.7522727272727272
2025-02-01,XC,1000,5.486363636363636
2025-02-01,XB,1000,2.738636363636364
2025-02-01,XA,1000,2.356818181818182
2025-02-01,X9,1000,5.9363636363636365
2025-02-01,X8,1000,8.131818181818183
2025-02-01,X7,1000,3.425
2025-02-01,X6,1000,3.3227272727272723
2025-02-01,X5,1000,0.956818181818182
2025-02-01,X4,1000,9.65681818181818
2025-02-01,X3,1000,3.0318181818181817
2025-02-01,X1,1000,3.5727272727272723
2025-02-01,WZ,1000,7.922727272727273
2025-02-01,WX,1000,2.938636363636364
2025-02-01,WW,1000,3.522727272727273
2025-02-01,WV,1000,1.9659090909090908
2025-02-01,WU,1000,8.956818181818182
2025-02-01,WT,1000,8.679545454545455
2025-02-01,WS,1000,0.9318181818181818
2025-02-01,WR,1000,3.3909090909090907
2025-02-01,WQ,1000,-1.2045454545454546
2025-02-01,WP,1000,5.161363636363636
2025-02-01,WO,1000,4.745454545454545
2025-02-01,WN,1000,2.8431818181818183
2025-02-01,WM,1000,2.1568181818181817
2025-02-01,WL,1000,3.772727272727273
2025-02-01,WK,1000,2.970454545454545
2025-02-01,WJ,1000,3.5477272727272724
2025-02-01,WI,1000,2.731818181818182
2025-02-01,WG,1000,4.079545454545454
2025-02-01,WE,1000,5.3568181818181815
2025-02-01,WD,1000,4.129545454545454
