codi,nom,tipus,emplacament,altitud,estats,coordenades.latitud,coordenades.longitud,municipi.codi,municipi.nom,comarca.codi,comarca.nom,provincia.codi,provincia.nom,xarxa.codi,xarxa.nom
U5,Prades - los Hortals,A,Finca los Hortals,969.0,"[{'codi': 2, 'dataInici': '1995-12-12T00:00Z', 'dataFi': '2013-01-31T10:00Z'}, {'codi': 1, 'dataInici': '2013-01-31T10:00Z', 'dataFi': None}]",41.31349,0.99611,431166,Prades,8,Baix Camp,43,Tarragona,1,XEMA
U6,Vinyols i els Arcs,A,Casa Sant Josep - Escola la Salle,29.0,"[{'codi': 2, 'dataInici': '1989-05-17T00:00Z', 'dataFi': None}]",41.08017,1.06661,431785,Vinyols i els Arcs,8,Baix Camp,43,Tarragona,1,XEMA
U7,Aldover,A,Granges de Fabra,52.0,"[{'codi': 2, 'dataInici': '1994-12-31T22:00Z', 'dataFi': None}]",40.85936,0.50525,430069,Aldover,9,Baix Ebre,43,Tarragona,1,XEMA
U8,Punta del Fangar,A,Punta del Fangar,0.0,"[{'codi': 2, 'dataInici': '1992-04-30T00:00Z', 'dataFi': '2009-02-19T10:00Z'}, {'codi': 1, 'dataInici': '2009-02-19T09:30Z', 'dataFi': None}]",40.78653,0.74264,439018,Deltebre,9,Baix Ebre,43,Tarragona,1,XEMA
U9,l'Aldea,A,Barranc del Mas Roig,62.0,"[{'codi': 2, 'dataInici': '1991-06-03T23:00Z', 'dataFi': None}]",40.76947,0.61635,439044,L'Aldea,9,Baix Ebre,43,Tarragona,1,XEMA
VA,Ascó,A,Camí de la Serra de les Moncas,257.0,"[{'codi': 2, 'dataInici': '1998-06-15T10:00Z', 'dataFi': None}]",41.19645,0.51161,430192,Ascó,30,Ribera d'Ebre,43,Tarragona,1,XEMA
VB,Benissanet,A,"Grup Fruiter Benissanet, crta. de Mora, s/n",32.0,"[{'codi': 2, 'dataInici': '1993-07-14T00:00Z', 'dataFi': None}]",41.06289,0.63517,430265,Benissanet,30,Ribera d'Ebre,43,Tarragona,1,XEMA
VC,Pantà de Riba-roja,A,Presa de Riba-roja,69.0,"[{'codi': 2, 'dataInici': '1996-11-18T18:00Z', 'dataFi': None}]",41.24415,0.43266,431251,Riba-roja d'Ebre,30,Ribera d'Ebre,43,Tarragona,1,XEMA
VD,el Canós,A,Camí de la Figuerosa,429.0,"[{'codi': 2, 'dataInici': '1988-10-22T03:00Z', 'dataFi': None}]",41.68939,1.20381,259118,Els Plans de Sió,32,Segarra,25,Lleida,1,XEMA
VE,Aitona,A,Camí del canal de Seròs,97.0,"[{'codi': 2, 'dataInici': '1998-03-12T13:00Z', 'dataFi': '2022-04-12T09:30Z'}, {'codi': 1, 'dataInici': '2022-04-12T09:30Z', 'dataFi': None}]",41.48692,0.46058,250387,Aitona,33,Segrià,25,Lleida,1,XEMA
VF,Alcarràs - Torrent d'Alcarràs,A,Partida Graminella,122.0,"[{'codi': 2, 'dataInici': '1997-09-17T14:00Z', 'dataFi': '2013-07-31T10:00Z'}, {'codi': 1, 'dataInici': '2013-07-31T10:00Z', 'dataFi': None}]",41.56482,0.54999,250117,Alcarràs,33,Segrià,25,Lleida,1,XEMA
VH,Gimenells,A,IRTA - Estació de Gimenells,259.0,"[{'codi': 2, 'dataInici': '1996-12-10T14:00Z', 'dataFi': None}]",41.65814,0.39301,259123,Gimenells i el Pla de la Font,33,Segrià,25,Lleida,1,XEMA
VI,Lleida,A,Av. Alcalde Rovira Roure,190.0,"[{'codi': 2, 'dataInici': '1990-03-30T12:00Z', 'dataFi': '2000-06-15T12:00Z'}, {'codi': 1, 'dataInici': '2000-06-15T12:00Z', 'dataFi': None}]",41.62918,0.59622,251207,Lleida,33,Segrià,25,Lleida,1,XEMA
VJ,Lleida - Pla de Lleida,A,"C. Pla de Lleida, 10 - Bordeta",161.0,"[{'codi': 2, 'dataInici': '1997-09-16T00:00Z', 'dataFi': '2013-07-24T11:00Z'}, {'codi': 1, 'dataInici': '2013-07-24T11:00Z', 'dataFi': None}]",41.59957,0.6478,251207,Lleida,33,Segrià,25,Lleida,1,XEMA
VK,Raimat,A,Finca Montserrat - Raimat,286.0,"[{'codi': 2, 'dataInici': '1988-08-31T19:00Z', 'dataFi': None}]",41.68328,0.4487,251207,Lleida,33,Segrià,25,Lleida,1,XEMA
VL,Seròs - la Creu,A,Crta. de Seròs a la Granja d'Escarp,100.0,"[{'codi': 2, 'dataInici': '1998-01-05T15:00Z', 'dataFi': '2011-12-15T10:00Z'}, {'codi': 1, 'dataInici': '2011-12-15T10:00Z', 'dataFi': None}]",41.46014,0.40562,252043,Seròs,33,Segrià,25,Lleida,1,XEMA
VM,Vilanova de Segrià,A,Partida lo Sort,222.0,"[{'codi': 2, 'dataInici': '1997-09-17T15:00Z', 'dataFi': '2003-02-24T21:00Z'}, {'codi': 3, 'dataInici': '2003-02-24T21:00Z', 'dataFi': '2004-12-03T12:00Z'}, {'codi': 2, 'dataInici': '2004-12-03T12:00Z', 'dataFi': None}]",41.7145,0.62839,252516,Vilanova de Segrià,33,Segrià,25,Lleida,1,XEMA
VN,Vilobí d'Onyar,A,Camps de Can Salvà,117.0,"[{'codi': 2, 'dataInici': '1998-11-10T11:00Z', 'dataFi': None}]",41.88244,2.74262,172333,Vilobí d'Onyar,34,Selva,17,Girona,1,XEMA
VO,Lladurs,A,Masia el Pla - Montpol,785.0,"[{'codi': 2, 'dataInici': '1998-05-05T12:00Z', 'dataFi': None}]",42.08745,1.42792,251240,Lladurs,35,Solsonès,25,Lleida,1,XEMA
VP,Pinós,A,Masia Can Caselles,659.0,"[{'codi': 2, 'dataInici': '1995-07-03T13:00Z', 'dataFi': None}]",41.80483,1.53853,251673,Pinós,35,Solsonès,25,Lleida,1,XEMA
VQ,Constantí,A,IRTA - Centre de Mas Bové. Apt. correus 415,112.0,"[{'codi': 2, 'dataInici': '1990-05-29T12:00Z', 'dataFi': None}]",41.1713,1.16774,430477,Constantí,36,Tarragonès,43,Tarragona,1,XEMA
VR,Tornabous - Montargull,A,Masia Mignot,291.0,"[{'codi': 2, 'dataInici': '1997-09-17T15:00Z', 'dataFi': '2013-08-06T09:00Z'}, {'codi': 1, 'dataInici': '2013-08-06T09:00Z', 'dataFi': None}]",41.68994,1.04401,252252,Tornabous,38,Urgell,25,Lleida,1,XEMA
VS,Lac Redon (2.247 m),A,Lac Redon - Tuc deth Pòrt de Vielha,2247.0,"[{'codi': 2, 'dataInici': '1999-07-15T14:00Z', 'dataFi': None}]",42.63835,0.77889,252430,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA
VT,Cerdanyola del Vallès,A,Parc Tecnològic del Vallès. Masia Can Fatjó del Molí,84.0,"[{'codi': 2, 'dataInici': '1998-05-15T10:00Z', 'dataFi': '2014-01-03T08:00Z'}, {'codi': 1, 'dataInici': '2014-01-03T08:00Z', 'dataFi': None}]",41.48401,2.12745,082665,Cerdanyola del Vallès,40,Vallès Occidental,8,Barcelona,1,XEMA
VU,Rellinars,A,Puig de la Ballesta,421.0,"[{'codi': 2, 'dataInici': '1998-02-18T12:00Z', 'dataFi': None}]",41.63286,1.91718,081799,Rellinars,40,Vallès Occidental,8,Barcelona,1,XEMA
VV,Sant Llorenç Savall,A,Masia Can Brossa,528.0,"[{'codi': 2, 'dataInici': '1998-03-25T00:00Z', 'dataFi': None}]",41.68129,2.02647,082233,Sant Llorenç Savall,40,Vallès Occidental,8,Barcelona,1,XEMA
VW,Caldes de Montbui - Torre Marimon,A,Finca Torre Marimon,164.5,"[{'codi': 2, 'dataInici': '1990-12-23T00:00Z', 'dataFi': '2007-03-08T08:00Z'}, {'codi': 1, 'dataInici': '2007-03-08T08:00Z', 'dataFi': None}]",41.61235,2.17099,080333,Caldes de Montbui,41,Vallès Oriental,8,Barcelona,1,XEMA
VX,Tagamanent - PN del Montseny,A,Can Bellver - Serrat de Bellver. Parc Natural del Montseny,1030.0,"[{'codi': 2, 'dataInici': '1996-01-04T11:00Z', 'dataFi': None}]",41.74761,2.30291,082763,Tagamanent,41,Vallès Oriental,8,Barcelona,1,XEMA
VY,Nulles,A,Cooperativa agrària,240.0,"[{'codi': 2, 'dataInici': '2000-09-18T12:00Z', 'dataFi': '2008-10-20T08:00Z'}, {'codi': 3, 'dataInici': '2008-10-20T08:00Z', 'dataFi': '2009-05-18T11:00Z'}, {'codi': 2, 'dataInici': '2009-05-18T11:00Z', 'dataFi': None}]",41.25095,1.29863,430982,Nulles,1,Alt Camp,43,Tarragona,1,XEMA
VZ,Espolla,A,"Llaurants. Ref. Cadastral: Pol. 5, parc.195",83.0,"[{'codi': 2, 'dataInici': '2000-06-07T11:00Z', 'dataFi': None}]",42.38443,3.00736,170643,Espolla,2,Alt Empordà,17,Girona,1,XEMA
V1,Vallfogona de Balaguer,A,Escola de Cap. Agrària - Finca l'Empalme,238.0,"[{'codi': 2, 'dataInici': '1990-10-17T00:00Z', 'dataFi': None}]",41.78487,0.82939,252402,Vallfogona de Balaguer,23,Noguera,25,Lleida,1,XEMA
V3,Gurb,A,Masia Can Borra,509.0,"[{'codi': 2, 'dataInici': '1999-03-31T00:00Z', 'dataFi': '2022-11-15T11:00Z'}, {'codi': 1, 'dataInici': '2022-11-15T11:00Z', 'dataFi': None}]",41.95224,2.23271,081000,Gurb,24,Osona,8,Barcelona,1,XEMA
V4,Montesquiu,A,Castell de Montesquiu,684.0,"[{'codi': 2, 'dataInici': '1998-12-02T12:00Z', 'dataFi': None}]",42.11477,2.21483,081311,Montesquiu,24,Osona,8,Barcelona,1,XEMA
V5,Perafita,A,Finca la Tria,774.0,"[{'codi': 2, 'dataInici': '1995-07-03T18:00Z', 'dataFi': None}]",42.03947,2.11993,081607,Perafita,43,Lluçanès,8,Barcelona,1,XEMA
V6,Viladrau - Aigües de Viladrau,A,"Camí vell de Viladrau, s/n",871.0,"[{'codi': 2, 'dataInici': '1995-10-03T14:00Z', 'dataFi': '2005-03-29T11:00Z'}, {'codi': 1, 'dataInici': '2005-03-29T11:00Z', 'dataFi': None}]",41.84256,2.42636,172207,Viladrau,24,Osona,8,Barcelona,1,XEMA
V7,Embassament de Sau,A,Embassament de Sau. Club Nàutic.,435.0,"[{'codi': 2, 'dataInici': '1997-05-20T11:00Z', 'dataFi': '2006-05-02T14:00Z'}, {'codi': 1, 'dataInici': '2006-05-02T14:00Z', 'dataFi': None}]",41.97554,2.39837,083036,Vilanova de Sau,24,Osona,8,Barcelona,1,XEMA
V8,el Poal,A,"Finca el Molinet, c. Afores, s/n",223.0,"[{'codi': 2, 'dataInici': '1989-09-14T00:00Z', 'dataFi': None}]",41.67279,0.87741,251689,El Poal,27,Pla d'Urgell,25,Lleida,1,XEMA
V9,Miralcamp,A,Partida la Boletera,256.0,"[{'codi': 2, 'dataInici': '1997-09-26T07:00Z', 'dataFi': '2010-02-01T06:00Z'}, {'codi': 1, 'dataInici': '2010-02-01T06:00Z', 'dataFi': None}]",41.61333,0.87608,251351,Miralcamp,27,Pla d'Urgell,25,Lleida,1,XEMA
WA,Oliola,A,Partida l'Era,443.0,"[{'codi': 2, 'dataInici': '2001-03-26T11:00Z', 'dataFi': None}]",41.87694,1.1541,251500,Oliola,23,Noguera,25,Lleida,1,XEMA
WB,Albesa,A,"Partida l'Eral, camí del Torricó",267.0,"[{'codi': 2, 'dataInici': '1999-06-21T11:00Z', 'dataFi': None}]",41.76036,0.67022,250083,Albesa,23,Noguera,25,Lleida,1,XEMA
WC,Golmés,A,Partida Fogones,261.0,"[{'codi': 2, 'dataInici': '2000-08-08T11:00Z', 'dataFi': '2014-01-02T09:00Z'}, {'codi': 3, 'dataInici': '2014-01-02T09:00Z', 'dataFi': '2014-03-12T11:00Z'}, {'codi': 2, 'dataInici': '2014-03-12T11:00Z', 'dataFi': None}]",41.63642,0.92446,250997,Golmés,27,Pla d'Urgell,25,Lleida,1,XEMA
WD,Batea,A,Clos Cóssos,382.0,"[{'codi': 2, 'dataInici': '1999-12-23T00:00Z', 'dataFi': None}]",41.08671,0.31884,430228,Batea,37,Terra Alta,43,Tarragona,1,XEMA
WE,Vilanova del Vallès,A,Mas Casa Alta,126.0,"[{'codi': 2, 'dataInici': '2000-07-05T11:00Z', 'dataFi': None}]",41.5444,2.30014,089024,Vilanova del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA
WF,Vilablareix,A,Mas Saüch,108.0,"[{'codi': 2, 'dataInici': '2001-04-11T10:00Z', 'dataFi': '2015-10-01T00:00Z'}, {'codi': 1, 'dataInici': '2015-10-01T00:00Z', 'dataFi': None}]",41.95425,2.77578,172155,Vilablareix,20,Gironès,17,Girona,1,XEMA
WG,Algerri,A,"Comunitat de regants d'Algerri, ctra. d'Albesa, s/n",301.0,"[{'codi': 2, 'dataInici': '2000-12-13T12:00Z', 'dataFi': None}]",41.80104,0.64804,250156,Algerri,23,Noguera,25,Lleida,1,XEMA
WH,Bellvís,A,"Molí de Balaguer, crta. de Térmens",196.0,"[{'codi': 2, 'dataInici': '1997-09-17T14:00Z', 'dataFi': '2004-11-17T09:00Z'}, {'codi': 1, 'dataInici': '2004-11-17T09:00Z', 'dataFi': None}]",41.67342,0.8129,250523,Bellvís,27,Pla d'Urgell,25,Lleida,1,XEMA
WI,Maials,A,Paratge d'Argelagar,350.0,"[{'codi': 2, 'dataInici': '2000-12-20T14:00Z', 'dataFi': None}]",41.35741,0.4809,251333,Maials,33,Segrià,25,Lleida,1,XEMA
WJ,el Masroig,A,Finca Terranova,141.0,"[{'codi': 2, 'dataInici': '2000-06-20T10:00Z', 'dataFi': None}]",41.1223,0.72182,430825,El Masroig,29,Priorat,43,Tarragona,1,XEMA
WK,Alfarràs,A,"Escola de Capacitació Agrària d'Alfarràs(de 1997 a 2001, és Almenar)",268.0,"[{'codi': 2, 'dataInici': '1997-09-17T14:00Z', 'dataFi': None}]",41.81949,0.57768,250138,Alfarràs,33,Segrià,25,Lleida,1,XEMA
WL,Sant Martí de Riucorb,A,"Camí de les Comes, pol. 2, parc. 137",413.0,"[{'codi': 2, 'dataInici': '2002-02-05T12:00Z', 'dataFi': None}]",41.57236,1.0882,259025,Sant Martí de Riucorb,38,Urgell,25,Lleida,1,XEMA
WM,Santuari de Queralt,A,Santuari de la Mare de Déu de Queralt,1167.0,"[{'codi': 2, 'dataInici': '2002-01-23T11:00Z', 'dataFi': None}]",42.10736,1.8267,080229,Berga,14,Berguedà,8,Barcelona,1,XEMA
WN,Montserrat - Sant Dimes,A,Ermita de Sant Dimes,916.0,"[{'codi': 2, 'dataInici': '2003-01-02T12:00Z', 'dataFi': None}]",41.59539,1.83751,081271,Monistrol de Montserrat,7,Bages,8,Barcelona,1,XEMA
WO,la Bisbal del Penedès,A,Fondo de Cal Sumoi,185.0,"[{'codi': 2, 'dataInici': '2002-05-16T10:00Z', 'dataFi': '2006-07-07T11:00Z'}, {'codi': 3, 'dataInici': '2006-07-07T11:00Z', 'dataFi': '2007-07-25T08:00Z'}, {'codi': 2, 'dataInici': '2007-07-25T08:00Z', 'dataFi': None}]",41.27151,1.46717,430287,La Bisbal del Penedès,12,Baix Penedès,43,Tarragona,1,XEMA
WP,Canaletes,A,Camp del Roure - Can Feixes,325.0,"[{'codi': 2, 'dataInici': '2002-05-17T00:00Z', 'dataFi': None}]",41.48518,1.69337,081228,Mediona,3,Alt Penedès,8,Barcelona,1,XEMA
WQ,Montsec d'Ares (1.572 m),A,Serra de la Corona - Centre d'Observació de l'Univers,1572.0,"[{'codi': 2, 'dataInici': '2003-06-17T12:00Z', 'dataFi': None}]",42.0513,0.72952,251961,Sant Esteve de la Sarga,25,Pallars Jussà,25,Lleida,1,XEMA
WR,Torroja del Priorat,A,"Ref.cadastral: Pol. 3, parc. 38",300.0,"[{'codi': 2, 'dataInici': '2003-11-27T13:00Z', 'dataFi': None}]",41.2163,0.79748,431541,Torroja del Priorat,29,Priorat,43,Tarragona,1,XEMA
WS,Viladrau,A,Mas Vilarmau,953.0,"[{'codi': 2, 'dataInici': '2005-03-17T14:00Z', 'dataFi': None}]",41.84008,2.41877,172207,Viladrau,24,Osona,17,Girona,1,XEMA
WT,Malgrat de Mar,A,Camí de la Pomereda,2.0,"[{'codi': 2, 'dataInici': '2005-05-04T13:00Z', 'dataFi': None}]",41.64707,2.75658,081108,Malgrat de Mar,21,Maresme,8,Barcelona,1,XEMA
WU,Badalona - Museu,A,Museu,42.0,"[{'codi': 2, 'dataInici': '2005-09-21T10:00Z', 'dataFi': None}]",41.45215,2.24757,080155,Badalona,13,Barcelonès,8,Barcelona,1,XEMA
WV,Guardiola de Berguedà,A,Monestir de Sant Llorenç prop Bagà,788.0,"[{'codi': 2, 'dataInici': '2005-11-28T14:00Z', 'dataFi': None}]",42.23414,1.87485,080996,Guardiola de Berguedà,14,Berguedà,8,Barcelona,1,XEMA
WW,Artés,A,Artés,278.0,"[{'codi': 2, 'dataInici': '2006-02-16T12:00Z', 'dataFi': None}]",41.79423,1.9368,080109,Artés,7,Bages,8,Barcelona,1,XEMA
WX,Camarasa,A,Camarasa,668.0,"[{'codi': 2, 'dataInici': '2006-03-07T12:00Z', 'dataFi': None}]",41.9178,0.88175,250621,Camarasa,23,Noguera,25,Lleida,1,XEMA
WY,Sant Sadurní d'Anoia - el Clot de les Comes,A,-,164.0,"[{'codi': 2, 'dataInici': '2006-04-11T00:00Z', 'dataFi': '2021-05-07T09:00Z'}, {'codi': 1, 'dataInici': '2021-05-07T09:00Z', 'dataFi': None}]",41.43386,1.79429,082401,Sant Sadurní d'Anoia,3,Alt Penedès,8,Barcelona,1,XEMA
WZ,Cunit,A,-,17.0,"[{'codi': 2, 'dataInici': '2006-06-27T13:30Z', 'dataFi': None}]",41.20187,1.63346,430516,Cunit,12,Baix Penedès,43,Tarragona,1,XEMA
W1,Castelló d'Empúries,A,Can Garriga - Mas Bellesguard,2.0,"[{'codi': 2, 'dataInici': '2000-03-14T10:00Z', 'dataFi': None}]",42.24726,3.09021,170470,Castelló d'Empúries,2,Alt Empordà,17,Girona,1,XEMA
W2,Torroella de Fluvià,A,Camp de Pla d'Avall - Camp de la Creu,7.0,"[{'codi': 2, 'dataInici': '2000-03-14T17:00Z', 'dataFi': '2014-04-08T11:00Z'}, {'codi': 1, 'dataInici': '2014-04-08T11:00Z', 'dataFi': None}]",42.18259,3.05783,171984,Torroella de Fluvià,2,Alt Empordà,17,Girona,1,XEMA
W3,Ventalló,A,el Camp Lletget - Mare de Déu de l'Om - Montiró,4.0,"[{'codi': 2, 'dataInici': '2000-03-14T15:00Z', 'dataFi': '2015-01-12T10:30Z'}, {'codi': 1, 'dataInici': '2015-01-12T10:30Z', 'dataFi': None}]",42.15006,3.06494,172109,Ventalló,2,Alt Empordà,17,Girona,1,XEMA
W4,Vilafranca del Penedès - la Granada,A,Rasa de Sagols,240.0,"[{'codi': 2, 'dataInici': '1999-12-25T00:00Z', 'dataFi': None}]",41.36619,1.72857,083054,Vilafranca del Penedès,3,Alt Penedès,8,Barcelona,1,XEMA
W5,Oliana,A,Partida Esclotes,490.0,"[{'codi': 2, 'dataInici': '2000-06-22T11:00Z', 'dataFi': None}]",42.07683,1.31489,251497,Oliana,4,Alt Urgell,25,Lleida,1,XEMA
W6,Riudoms,A,Mas d'en Domènec,158.0,"[{'codi': 2, 'dataInici': '1999-10-19T09:00Z', 'dataFi': '2019-02-06T08:30Z'}, {'codi': 1, 'dataInici': '2019-02-06T08:30Z', 'dataFi': None}]",41.13738,1.0187,431299,Riudoms,8,Baix Camp,43,Tarragona,1,XEMA
W8,Blancafort,A,"Cooperativa vinícola, pl.del Sindicat",438.0,"[{'codi': 2, 'dataInici': '2000-01-18T12:00Z', 'dataFi': None}]",41.44237,1.15998,430290,Blancafort,16,Conca de Barberà,43,Tarragona,1,XEMA
W9,la Vall d'en Bas,A,Escola Verntallat,461.0,"[{'codi': 2, 'dataInici': '2000-03-16T15:00Z', 'dataFi': None}]",42.14557,2.45451,172076,La Vall d'en Bas,19,Garrotxa,17,Girona,1,XEMA
XA,la Panadella,A,La Creu del Vent,785.0,"[{'codi': 2, 'dataInici': '2008-12-18T13:30Z', 'dataFi': None}]",41.60257,1.4007,081332,Montmaneu,6,Anoia,8,Barcelona,1,XEMA
XB,la Llacuna,A,Cal Mateu,584.0,"[{'codi': 2, 'dataInici': '2008-03-19T11:00Z', 'dataFi': None}]",41.4779,1.53529,081043,La Llacuna,6,Anoia,8,Barcelona,1,XEMA
XC,Castellbisbal,A,Turó de la Verdalaga,147.0,"[{'codi': 2, 'dataInici': '2008-03-18T12:00Z', 'dataFi': None}]",41.47892,1.97546,080543,Castellbisbal,40,Vallès Occidental,8,Barcelona,1,XEMA
XD,Ulldemolins,A,Pigrossos,687.0,"[{'codi': 2, 'dataInici': '2008-04-17T11:00Z', 'dataFi': None}]",41.32,0.8857,431573,Ulldemolins,29,Priorat,43,Tarragona,1,XEMA
XE,Tarragona - Complex Educatiu,A,Complex Educatiu,5.0,"[{'codi': 2, 'dataInici': '2009-02-05T15:30Z', 'dataFi': None}]",41.10393,1.201,431482,Tarragona,36,Tarragonès,43,Tarragona,1,XEMA
XF,Sabadell - Parc Agrari,A,Parc Agrari,258.0,"[{'codi': 2, 'dataInici': '2008-10-23T15:30Z', 'dataFi': None}]",41.56568,2.06952,081878,Sabadell,40,Vallès Occidental,8,Barcelona,1,XEMA
XG,Parets del Vallès,A,CEIP Pau Vila,123.0,"[{'codi': 2, 'dataInici': '2008-10-30T16:00Z', 'dataFi': None}]",41.56734,2.22619,081593,Parets del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA
XH,Sort,A,Escola de Piragüisme,679.0,"[{'codi': 2, 'dataInici': '2009-07-31T15:00Z', 'dataFi': None}]",42.40533,1.12993,252094,Sort,26,Pallars Sobirà,25,Lleida,1,XEMA
XI,Mollerussa,A,-,247.0,"[{'codi': 2, 'dataInici': '2010-01-20T15:00Z', 'dataFi': None}]",41.61817,0.87182,251370,Mollerussa,27,Pla d'Urgell,25,Lleida,1,XEMA
XJ,Girona,A,Horts de Santa Eugènia,72.0,"[{'codi': 2, 'dataInici': '2010-09-15T15:00Z', 'dataFi': None}]",41.98223,2.80686,170792,Girona,20,Gironès,17,Girona,1,XEMA
XK,Puig Sesolles (1.668 m),A,Puig Sesolles (Massís del Montseny),1668.0,"[{'codi': 2, 'dataInici': '2010-09-22T14:00Z', 'dataFi': None}]",41.77362,2.43774,080811,Fogars de Montclús,41,Vallès Oriental,8,Barcelona,1,XEMA
XL,el Prat de Llobregat,A,Camí de la Ribera s/n,8.0,"[{'codi': 2, 'dataInici': '2011-03-22T13:30Z', 'dataFi': None}]",41.34045,2.08022,081691,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA
XM,els Alamús,A,-,235.0,"[{'codi': 2, 'dataInici': '2011-06-22T16:00Z', 'dataFi': None}]",41.59522,0.73507,250045,Els Alamús,33,Segrià,25,Lleida,1,XEMA
XN,Seròs,A,EDAR Aitona-Seròs,89.0,"[{'codi': 2, 'dataInici': '2011-12-15T12:00Z', 'dataFi': None}]",41.46379,0.42765,252043,Seròs,33,Segrià,25,Lleida,1,XEMA
XO,Vic,A,Vic,499.0,"[{'codi': 2, 'dataInici': '2011-12-22T11:30Z', 'dataFi': None}]",41.93497,2.23987,082981,Vic,24,Osona,8,Barcelona,1,XEMA
XP,Gandesa,A,IRTA UETA Gandesa,349.0,"[{'codi': 2, 'dataInici': '2011-11-30T08:30Z', 'dataFi': None}]",41.06581,0.43006,430640,Gandesa,37,Terra Alta,43,Tarragona,1,XEMA
XQ,Tremp,A,Conillera de Joncar,473.0,"[{'codi': 2, 'dataInici': '2012-10-22T13:00Z', 'dataFi': None}]",42.16252,0.88814,252347,Tremp,25,Pallars Jussà,25,Lleida,1,XEMA
XR,Prades,A,La Comanda,926.0,"[{'codi': 2, 'dataInici': '2013-01-31T16:00Z', 'dataFi': None}]",41.31481,0.98161,431166,Prades,8,Baix Camp,43,Tarragona,1,XEMA
XS,Santa Coloma de Farners,A,Dipòsit d'aigua,162.0,"[{'codi': 2, 'dataInici': '2013-03-26T13:30Z', 'dataFi': None}]",41.86489,2.66446,171805,Santa Coloma de Farners,34,Selva,17,Girona,1,XEMA
XT,Solsona,A,Magatzem Municipal,691.0,"[{'codi': 2, 'dataInici': '2012-07-12T14:00Z', 'dataFi': None}]",41.98766,1.51165,252075,Solsona,35,Solsonès,25,Lleida,1,XEMA
XU,Canyelles,A,Cementiri,148.0,"[{'codi': 2, 'dataInici': '2013-07-16T15:30Z', 'dataFi': None}]",41.28801,1.72195,080431,Canyelles,17,Garraf,8,Barcelona,1,XEMA
XV,Sant Cugat del Vallès - CAR,A,Centre d'Alt Rendiment,158.0,"[{'codi': 2, 'dataInici': '2013-08-08T13:30Z', 'dataFi': None}]",41.48311,2.07956,082055,Sant Cugat del Vallès,40,Vallès Occidental,8,Barcelona,1,XEMA
XW,Lleida - la Bordeta,A,Torre de Vallverdú,165.0,"[{'codi': 2, 'dataInici': '2013-07-24T11:00Z', 'dataFi': '2018-10-17T10:30Z'}, {'codi': 1, 'dataInici': '2018-10-17T10:30Z', 'dataFi': None}]",41.59822,0.64855,251207,Lleida,33,Segrià,25,Lleida,1,XEMA
XX,Anglesola - Tornabous,A,Masia Mingot,291.0,"[{'codi': 2, 'dataInici': '2013-08-06T11:00Z', 'dataFi': None}]",41.68835,1.04476,252252,Tornabous,38,Urgell,25,Lleida,1,XEMA
XY,Alcarràs,A,Central del revés,122.0,"[{'codi': 2, 'dataInici': '2013-07-31T11:00Z', 'dataFi': None}]",41.56509,0.55027,250117,Alcarràs,33,Segrià,25,Lleida,1,XEMA
XZ,Torroella de Fluvià,A, ,7.0,"[{'codi': 2, 'dataInici': '2014-04-08T11:30Z', 'dataFi': None}]",42.18139,3.06202,171984,Torroella de Fluvià,2,Alt Empordà,17,Girona,1,XEMA
X1,Falset,A,Abocador comarcal. Crta de Porrera,359.0,"[{'codi': 2, 'dataInici': '2006-12-20T13:00Z', 'dataFi': None}]",41.15374,0.81953,430555,Falset,29,Priorat,43,Tarragona,1,XEMA
X2,Barcelona - Zoo,A,Zoo,7.0,"[{'codi': 2, 'dataInici': '2006-09-22T10:00Z', 'dataFi': None}]",41.38943,2.18847,080193,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA
X3,Alguaire,A,Aeròdrom,370.0,"[{'codi': 2, 'dataInici': '2006-06-02T11:00Z', 'dataFi': None}]",41.74281,0.5358,250169,Alguaire,33,Segrià,25,Lleida,1,XEMA
X4,Barcelona - el Raval,A,"Facultat de Geografia i Història. c. Montalegre nº6, 6a",33.0,"[{'codi': 2, 'dataInici': '2006-10-11T11:00Z', 'dataFi': None}]",41.3839,2.16775,080193,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA
X5,PN dels Ports,A,Montpublic 21 sector Cova Avellanes,1055.0,"[{'codi': 2, 'dataInici': '2007-01-04T13:00Z', 'dataFi': None}]",40.79705,0.31822,431331,Roquetes,9,Baix Ebre,43,Tarragona,1,XEMA
X6,Baldomar,A,Baldomar,366.0,"[{'codi': 2, 'dataInici': '2006-10-24T14:00Z', 'dataFi': None}]",41.92173,1.02901,250349,Artesa de Segre,23,Noguera,25,Lleida,1,XEMA
X7,Torres de Segre,A,Torres de Segre,215.0,"[{'codi': 2, 'dataInici': '2007-07-02T13:00Z', 'dataFi': None}]",41.51909,0.55314,252326,Torres de Segre,33,Segrià,25,Lleida,1,XEMA
X8,Barcelona - Zona Universitària,A,Pistes UB,79.0,"[{'codi': 2, 'dataInici': '2008-04-17T11:00Z', 'dataFi': None}]",41.37919,2.1054,080193,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA
