codi,nom,tipus,emplacament,altitud,estats,coordenades.latitud,coordenades.longitud,municipi.codi,municipi.nom,comarca.codi,comarca.nom,provincia.codi,provincia.nom,xarxa.codi,xarxa.nom
CU,Vielha,A,Prat de Tixineret,1002.0,"[{'codi': 2, 'dataInici': '1996-02-15T13:30Z', 'dataFi': '2022-06-01T10:30Z'}, {'codi': 1, 'dataInici': '2022-06-01T10:30Z', 'dataFi': None}]",42.69856,0.79397,252430,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA
CV,la Pobla de Segur - Bombers,A,Parc de Bombers,513.3,"[{'codi': 2, 'dataInici': '1995-12-22T16:00Z', 'dataFi': '2016-11-18T14:00Z'}, {'codi': 1, 'dataInici': '2016-11-18T14:00Z', 'dataFi': None}]",42.23939,0.96434,251713,La Pobla de Segur,25,Pallars Jussà,25,Lleida,1,XEMA
CW,l'Espluga de Francolí,A,Urb. Espluga Parc,446.0,"[{'codi': 2, 'dataInici': '1996-02-23T21:00Z', 'dataFi': None}]",41.39241,1.09894,430542,L'Espluga de Francolí,16,Conca de Barberà,43,Tarragona,1,XEMA
CX,Vic - 1,A,Estadi d'atletisme,497.8,"[{'codi': 2, 'dataInici': '1996-01-18T14:30Z', 'dataFi': '2003-01-01T00:00Z'}, {'codi': 1, 'dataInici': '2003-01-01T00:00Z', 'dataFi': None}]",41.93582,2.23857,082981,Vic,24,Osona,8,Barcelona,1,XEMA
CY,Muntanyola,A,Esglèsia de St. Quirze i Sta. Julita,816.0,"[{'codi': 2, 'dataInici': '1996-01-12T12:00Z', 'dataFi': None}]",41.87813,2.17873,081290,Muntanyola,24,Osona,8,Barcelona,1,XEMA
CZ,Ulldemolins - Zona Esportiva,A,Poliesportiu municipal,631.0,"[{'codi': 2, 'dataInici': '1996-03-04T10:30Z', 'dataFi': '2008-04-15T09:00Z'}, {'codi': 1, 'dataInici': '2008-04-15T09:00Z', 'dataFi': None}]",41.3191,0.87868,431573,Ulldemolins,29,Priorat,43,Tarragona,1,XEMA
C6,Castellnou de Seana,A,Abocador comarcal,264.0,"[{'codi': 2, 'dataInici': '1995-12-16T23:00Z', 'dataFi': None}]",41.6566,0.95172,250680,Castellnou de Seana,27,Pla d'Urgell,25,Lleida,1,XEMA
C7,Tàrrega,A,Abocador comarcal,427.0,"[{'codi': 2, 'dataInici': '1995-11-06T18:00Z', 'dataFi': None}]",41.66695,1.16234,252173,Tàrrega,38,Urgell,25,Lleida,1,XEMA
C8,Cervera,A,Abocador comarcal,554.0,"[{'codi': 2, 'dataInici': '1995-10-27T10:30Z', 'dataFi': None}]",41.67555,1.29609,250729,Cervera,32,Segarra,25,Lleida,1,XEMA
C9,Mas de Barberans,A,Abocador comarcal,240.0,"[{'codi': 2, 'dataInici': '1997-04-11T11:30Z', 'dataFi': None}]",40.71825,0.39988,430770,Mas de Barberans,22,Montsià,43,Tarragona,1,XEMA
DA,Vila-rodona - Escola,A,Zona de les Escoles Noves,278.0,"[{'codi': 2, 'dataInici': '1998-01-23T14:30Z', 'dataFi': '2005-07-28T10:00Z'}, {'codi': 1, 'dataInici': '2005-07-28T10:00Z', 'dataFi': None}]",41.30839,1.3622,431704,Vila-rodona,1,Alt Camp,43,Tarragona,1,XEMA
DB,el Perelló,A,Dipòsit d'aigua,179.0,"[{'codi': 2, 'dataInici': '1998-02-05T16:00Z', 'dataFi': None}]",40.87287,0.71581,431042,El Perelló,9,Baix Ebre,43,Tarragona,1,XEMA
DC,Olot - Pla de Baix,A,Heliport Mossos d'Esquadra,421.5,"[{'codi': 2, 'dataInici': '1998-04-24T22:00Z', 'dataFi': '2016-07-21T13:30Z'}, {'codi': 1, 'dataInici': '2016-07-21T13:30Z', 'dataFi': None}]",42.19144,2.48263,171143,Olot,19,Garrotxa,17,Girona,1,XEMA
DD,Vilassar de Mar,A,"Soc.Civil d'Aigües ""La Mina Vella""",44.5,"[{'codi': 2, 'dataInici': '1998-05-04T13:30Z', 'dataFi': '2015-01-16T09:30Z'}, {'codi': 1, 'dataInici': '2015-01-16T09:30Z', 'dataFi': None}]",41.51175,2.38674,082191,Vilassar de Mar,21,Maresme,8,Barcelona,1,XEMA
DE,Botarell,A,Planta de compostatge,231.0,"[{'codi': 2, 'dataInici': '1998-01-16T16:00Z', 'dataFi': '2007-01-16T08:30Z'}, {'codi': 1, 'dataInici': '2007-01-16T08:30Z', 'dataFi': None}]",41.15404,0.99772,430332,Botarell,8,Baix Camp,43,Tarragona,1,XEMA
DF,la Bisbal d'Empordà,A,Estació depuradora,28.6,"[{'codi': 2, 'dataInici': '1998-03-25T15:00Z', 'dataFi': None}]",41.97751,3.03543,170221,La Bisbal d'Empordà,10,Baix Empordà,17,Girona,1,XEMA
DG,Núria (1.971 m),A,Santuari de Núria,1971.4,"[{'codi': 2, 'dataInici': '1998-05-15T09:30Z', 'dataFi': None}]",42.39848,2.15517,170433,Queralbs,31,Ripollès,17,Girona,1,XEMA
DH,Badalona - Mas Ram,A,Urb. Mas Ram - Escola Pere Vergès,126.0,"[{'codi': 2, 'dataInici': '1998-03-23T15:00Z', 'dataFi': '2005-09-08T20:30Z'}, {'codi': 1, 'dataInici': '2005-09-08T20:30Z', 'dataFi': None}]",41.47638,2.25213,080155,Badalona,13,Barcelonès,8,Barcelona,1,XEMA
DI,Font-rubí,A,Masia Ca l'Amàlia - Montjuic,415.0,"[{'codi': 2, 'dataInici': '1998-07-16T18:30Z', 'dataFi': None}]",41.43292,1.62386,080850,Font-rubí,3,Alt Penedès,8,Barcelona,1,XEMA
DJ,Banyoles,A,Abocador comarcal de Puigpalter,176.0,"[{'codi': 2, 'dataInici': '1999-10-11T15:30Z', 'dataFi': None}]",42.11653,2.78969,170157,Banyoles,28,Pla de l'Estany,17,Girona,1,XEMA
DK,Torredembarra,A,Aiguamolls els Muntanyans,2.0,"[{'codi': 2, 'dataInici': '1999-11-24T00:00Z', 'dataFi': None}]",41.14677,1.41846,431536,Torredembarra,36,Tarragonès,43,Tarragona,1,XEMA
DL,Illa de Buda,A,Mas de Buda,0.5,"[{'codi': 2, 'dataInici': '1999-07-14T13:00Z', 'dataFi': None}]",40.70719,0.83449,439023,Sant Jaume d'Enveja,22,Montsià,43,Tarragona,1,XEMA
DM,Girona - Bombers,A,Parc de Bombers,90.0,"[{'codi': 2, 'dataInici': '2001-05-10T12:30Z', 'dataFi': '2010-09-15T08:00Z'}, {'codi': 1, 'dataInici': '2010-09-15T08:00Z', 'dataFi': None}]",41.96012,2.80696,170792,Girona,20,Gironès,17,Girona,1,XEMA
DN,Anglès,A,Poliesportiu municipal,150.0,"[{'codi': 2, 'dataInici': '2001-05-10T16:30Z', 'dataFi': None}]",41.96095,2.63108,170084,Anglès,34,Selva,17,Girona,1,XEMA
DO,Castell d'Aro,A,Parc de Bombers,14.0,"[{'codi': 2, 'dataInici': '2001-05-10T10:00Z', 'dataFi': None}]",41.80857,3.03241,170486,Castell-Platja d'Aro,10,Baix Empordà,17,Girona,1,XEMA
DP,Das - Aeròdrom,A,Aeròdrom de la Cerdanya,1097.0,"[{'codi': 2, 'dataInici': '2001-05-22T10:30Z', 'dataFi': None}]",42.38605,1.8664,170617,Das,15,Cerdanya,17,Girona,1,XEMA
DQ,Vila-rodona,A,Nova estació,287.0,"[{'codi': 2, 'dataInici': '2005-07-29T11:30Z', 'dataFi': None}]",41.30728,1.36259,431704,Vila-rodona,1,Alt Camp,43,Tarragona,1,XEMA
D1,Margalef,A,Dipòsit d'aigua,404.0,"[{'codi': 2, 'dataInici': '1996-01-14T17:30Z', 'dataFi': None}]",41.28521,0.75383,430751,Margalef,29,Priorat,43,Tarragona,1,XEMA
D2,Vacarisses,A,Planta potabilitzadora,343.0,"[{'codi': 2, 'dataInici': '1996-02-15T19:30Z', 'dataFi': None}]",41.59252,1.915,082917,Vacarisses,40,Vallès Occidental,8,Barcelona,1,XEMA
D3,Vallirana,A,C. Arquitecte Baldric,252.0,"[{'codi': 2, 'dataInici': '1995-10-28T10:00Z', 'dataFi': None}]",41.38197,1.93564,082956,Vallirana,11,Baix Llobregat,8,Barcelona,1,XEMA
D4,Roses,A,Poliesportiu Municipal,24.0,"[{'codi': 2, 'dataInici': '1996-02-07T12:30Z', 'dataFi': None}]",42.27065,3.18165,171523,Roses,2,Alt Empordà,17,Girona,1,XEMA
