codi,nom,slug,coordenades.latitud,coordenades.longitud,comarca.codi,comarca.nom
431055,les Piles,,41.50383442400004,1.3423953629998768,16,Conca de Barberà
171334,les Planes d'Hostoles,,42.05593630900006,2.536909351000011,19,Garrotxa
250812,l'Espluga Calba,,41.49491526300005,1.0047755209994902,18,Garrigues
430542,l'Espluga de Francolí,,41.39637103300003,1.1044900089996725,16,Conca de Barberà
171390,les Preses,,42.14215674100006,2.460804365000049,19,Garrotxa
080787,l'Espunyola,,42.053555773000014,1.7677454180000343,14,Berguedà
082541,l'Esquirol,,42.03550805600001,2.3682440280000407,24,Osona
080790,l'Estany,,41.86860715100004,2.112454961000015,42,Moianès
259062,les Valls d'Aguilar,,42.29395966200008,1.341832866999902,4,Alt Urgell
252398,les Valls de Valira,,42.37908342500002,1.4567377339999648,4,Alt Urgell
081017,l'Hospitalet de Llobregat,,41.35945966700006,2.0997120990000333,13,Barcelonès
251229,Linyola,,41.71041341600004,0.9043735279992878,27,Pla d'Urgell
170887,Lladó,,42.24769882200006,2.8134046900000182,2,Alt Empordà
251235,Lladorre,,42.621614113000064,1.2491678389998455,26,Pallars Sobirà
251240,Lladurs,,42.044669155000065,1.5076286099999625,35,Solsonès
170890,Llagostera,,41.828810092000026,2.8918174630000437,20,Gironès
170904,Llambilles,,41.92105156700005,2.8592785930000475,20,Gironès
170911,Llanars,,42.32095448300003,2.3441372300000496,31,Ripollès
170926,Llançà,,42.36201125300004,3.1507632070000597,2,Alt Empordà
251253,Llardecans,,41.37409493000006,0.5505024829976721,33,Segrià
251266,Llavorsí,,42.497460192000055,1.2088703309998272,26,Pallars Sobirà
251207,Lleida,,41.614730590000065,0.6268425739981561,33,Segrià
170932,Llers,,42.29630565100007,2.911609249000028,2,Alt Empordà
251272,Lles de Cerdanya,,42.39029165400006,1.6870617920000297,15,Cerdanya
081075,Lliçà d'Amunt,,41.60846678600006,2.239433257000021,41,Vallès Oriental
081081,Lliçà de Vall,,41.58630762100005,2.2390846570000256,41,Vallès Oriental
251288,Llimiana,,42.075144066000064,0.9162022609993035,25,Pallars Jussà
081069,Llinars del Vallès,,41.63915185300004,2.4046200110000115,41,Vallès Oriental
170947,Llívia,,42.46507864200003,1.9817996680000514,15,Cerdanya
251291,Llobera,,41.922416321000064,1.4632184049999266,35,Solsonès
430733,Llorac,,41.55650686200004,1.3071555519998563,16,Conca de Barberà
430748,Llorenç del Penedès,,41.282935119000044,1.5529171069999737,12,Baix Penedès
170950,Lloret de Mar,,41.698615651000054,2.847602852000014,34,Selva
081094,Lluçà,,42.06808229200004,2.0732640420000514,43,Lluçanès
171024,Maçanet de Cabrenys,,42.38605651300003,2.7503878900000616,2,Alt Empordà
171030,Maçanet de la Selva,,41.776371392000044,2.7313256750000416,34,Selva
170979,Madremanya,,41.990256197000065,2.9575214940000385,20,Gironès
170985,Maià de Montcal,,42.22211068000004,2.742740958000062,19,Garrotxa
251333,Maials,,41.36488195400005,0.5041990669973366,33,Segrià
251305,Maldà,,41.55110192600006,1.0401767879995572,38,Urgell
081108,Malgrat de Mar,,41.645501428000046,2.7407428790000297,21,Maresme
081115,Malla,,41.88658813000004,2.234413951000013,24,Osona
081120,Manlleu,,41.99993910200003,2.283578063000041,24,Osona
081136,Manresa,,41.723055286000026,1.8269287540000285,7,Bages
430764,Marçà,,41.126788576000074,0.8031449699989199,29,Priorat
430751,Margalef,,41.28448996400004,0.7541727709987577,29,Priorat
082423,Marganell,,41.64029097900003,1.7930455270000356,7,Bages
081141,Martorell,,41.47433610300003,1.9307304600000479,11,Baix Llobregat
081154,Martorelles,,41.52570388900005,2.2427670790000227,41,Vallès Oriental
171002,Masarac,,42.35096750100008,2.972460262000018,2,Alt Empordà
430770,Mas de Barberans,,40.735666752000036,0.3738781899958991,22,Montsià
430786,Masdenverge,,40.71544069100002,0.5317093879973445,22,Montsià
430799,Masllorenç,,41.269624781000054,1.4153519189999224,12,Baix Penedès
430810,Maspujols,,41.18194646300001,1.0458390789995697,8,Baix Camp
081192,Masquefa,,41.501894271000026,1.8118526500000245,6,Anoia
251312,Massalcoreig,,41.45916407400006,0.35934835599605097,33,Segrià
171019,Massanes,,41.76645820700003,2.6519393790000456,34,Selva
251327,Massoteres,,41.797264755000064,1.3107655209998879,32,Segarra
081206,Matadepera,,41.59664189000004,2.026747357000021,40,Vallès Occidental
081213,Mataró,,41.53980990500001,2.444896864000034,21,Maresme
081228,Mediona,,41.476788767000066,1.6113411439999972,3,Alt Penedès
251348,Menàrguens,,41.72913882300004,0.7438896899987638,23,Noguera
170998,Meranges,,42.44577442800004,1.7869163500000453,15,Cerdanya
171058,Mieres,,42.12416017400005,2.639889941000027,19,Garrotxa
251351,Miralcamp,,41.60459408700005,0.8802020899992181,27,Pla d'Urgell
430846,Miravet,,41.03813937500007,0.5975129819979165,30,Ribera d'Ebre
081385,Moià,,41.81286912000006,2.096923027000049,42,Moianès
081234,Molins de Rei,,41.413593960000064,2.015962182000054,11,Baix Llobregat
251370,Mollerussa,,41.62981069200002,0.8940303769992242,27,Pla d'Urgell
081249,Mollet del Vallès,,41.535411838000066,2.2103108530000566,41,Vallès Oriental
171061,Mollet de Peralada,,42.35858847400004,3.00057213200005,2,Alt Empordà
171077,Molló,,42.34680531100002,2.404208713000051,31,Ripollès
081287,Monistrol de Calders,,41.76032258700007,2.014631919000054,42,Moianès
081271,Monistrol de Montserrat,,41.60979072600002,1.842759666000043,7,Bages
171096,Montagut i Oix,,42.231464391000024,2.596166170000052,19,Garrotxa
430862,Montblanc,,41.37677696300005,1.1613865219997175,16,Conca de Barberà
430884,Montbrió del Camp,,41.12068106400003,1.0037926369994725,8,Baix Camp
081252,Montcada i Reixac,,41.485795665000055,2.18777037600005,40,Vallès Occidental
081304,Montclar,,42.018209187000025,1.765071661000009,14,Berguedà
251399,Montellà i Martinet,,42.36012031400002,1.6952521569999934,15,Cerdanya
081311,Montesquiu,,42.109893570000054,2.209866277000051,24,Osona
251403,Montferrer i Castellbò,,42.34127089500004,1.428016980999937,4,Alt Urgell
430897,Montferri,,41.26529763100007,1.3657319039998799,1,Alt Camp
251386,Montgai,,41.79990797800007,0.9613689659994292,23,Noguera
081265,Montgat,,41.46694519800007,2.27868161600002,21,Maresme
081326,Montmajor,,42.01741552600004,1.7348428410000147,14,Berguedà
081332,Montmaneu,,41.62613551000002,1.4144204969999197,6,Anoia
081350,Montmeló,,41.551517209000046,2.247898536000027,41,Vallès Oriental
251425,Montoliu de Lleida,,41.56015081900004,0.5883685119979443,33,Segrià
251410,Montoliu de Segarra,,41.59026939700003,1.269958037999816,32,Segarra
081363,Montornès del Vallès,,41.54526095100003,2.267313544000037,41,Vallès Oriental
251431,Montornès de Segarra,,41.60106554600003,1.230695657999812,32,Segarra
430918,Mont-ral,,41.28690992500002,1.0969747969996133,1,Alt Camp
171100,Mont-ras,,41.907723904000065,3.144717363000032,10,Baix Empordà
430923,Mont-roig del Camp,,41.08730454200001,0.9581210819993585,8,Baix Camp
081379,Montseny,,41.75915399000006,2.3953547380000284,41,Vallès Oriental
430939,Móra d'Ebre,,41.093142923000066,0.6417670879981717,30,Ribera d'Ebre
430944,Móra la Nova,,41.100142386000066,0.6508406269982084,30,Ribera d'Ebre
081290,Muntanyola,,41.87840991900002,2.1775848730000478,24,Osona
