sensor,station,distance,type_1_%,type_2_%,type_3_%,type_4_%,type_5_%,type_6_%,type_7_%,type_8_%,type_9_%,type_10_%,type_11_%,type_12_%,type_13_%,type_14_%,type_15_%,type_16_%,type_17_%,type_18_%,type_19_%,type_20_%,type_21_%,type_22_%,type_23_%,type_24_%,type_25_%,type_26_%,type_27_%,type_28_%,type_29_%,type_30_%,type_31_%,type_32_%,type_33_%,type_34_%,type_35_%,type_36_%,type_37_%,type_38_%,type_39_%,type_40_%
Embassament de Foix (Castellet i la Gornal),CC,102.06801252827611,36.82664054848188,12.830558276199804,12.047012732615084,10.088148873653282,6.953966699314397,4.603330068560235,3.525954946131244,1.860920666013712,1.762977473065622,1.1753183153770812,1.0773751224289911,0.881488736532811,0.881488736532811,0.881488736532811,0.7835455435847208,0.6856023506366308,0.5876591576885406,0.5876591576885406,0.3917727717923604,0.3917727717923604,0.2938295788442703,0.2938295788442703,0.1958863858961802,0.1958863858961802,0.0979431929480901,0.0979431929480901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CD,125.18683913923307,31.789137380191697,24.361022364217252,13.89776357827476,9.664536741214057,4.39297124600639,3.3546325878594248,2.7955271565495208,1.3578274760383386,1.2779552715654952,1.2779552715654952,0.8785942492012779,0.7987220447284344,0.7188498402555911,0.7188498402555911,0.4792332268370607,0.3993610223642172,0.23961661341853036,0.23961661341853036,0.23961661341853036,0.23961661341853036,0.23961661341853036,0.23961661341853036,0.23961661341853036,0.1597444089456869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CE,33.29614728476842,30.33033033033033,16.216216216216218,16.216216216216218,6.306306306306306,4.2042042042042045,3.903903903903904,3.6036036036036037,3.003003003003003,3.003003003003003,2.1021021021021022,1.8018018018018018,1.5015015015015014,1.2012012012012012,1.2012012012012012,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.6006006006006006,0.6006006006006006,0.3003003003003003,0.3003003003003003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CG,139.79275017573374,32.1173104434907,14.306151645207441,11.158798283261802,9.656652360515022,8.94134477825465,8.226037195994278,4.86409155937053,1.4306151645207439,1.4306151645207439,1.0729613733905579,0.7153075822603719,0.7153075822603719,0.5722460658082975,0.5722460658082975,0.5722460658082975,0.5722460658082975,0.5007153075822603,0.4291845493562232,0.35765379113018597,0.35765379113018597,0.28612303290414876,0.2145922746781116,0.2145922746781116,0.2145922746781116,0.14306151645207438,0.14306151645207438,0.07153075822603719,0.07153075822603719,0.07153075822603719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CI,126.18651080536009,34.31061806656102,14.263074484944532,10.301109350237718,9.350237717908081,8.9540412044374,5.705229793977813,4.595879556259905,1.664025356576862,1.5847860538827259,1.5055467511885896,1.0301109350237718,0.9508716323296356,0.7131537242472267,0.7131537242472267,0.6339144215530903,0.554675118858954,0.554675118858954,0.39619651347068147,0.39619651347068147,0.31695721077654515,0.31695721077654515,0.2377179080824089,0.2377179080824089,0.2377179080824089,0.2377179080824089,0.15847860538827258,0.07923930269413629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CJ,109.95964978862725,32.81818181818182,25.727272727272727,8.818181818181818,7.909090909090908,7.636363636363637,4.090909090909091,1.7272727272727273,1.5454545454545454,1.4545454545454546,1.3636363636363635,1.3636363636363635,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5454545454545455,0.36363636363636365,0.36363636363636365,0.27272727272727276,0.27272727272727276,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CL,47.481304163770744,29.47368421052631,23.57894736842105,12.842105263157894,10.526315789473683,5.684210526315789,3.7894736842105265,2.736842105263158,1.263157894736842,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.631578947368421,0.631578947368421,0.631578947368421,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CP,110.57938468264935,42.67631103074141,17.63110307414105,10.759493670886076,6.871609403254973,4.249547920433996,2.9837251356238697,2.9837251356238697,2.0795660036166366,1.9891500904159132,1.89873417721519,0.9945750452079566,0.9945750452079566,0.6329113924050633,0.6329113924050633,0.5424954792043399,0.5424954792043399,0.3616636528028933,0.27124773960216997,0.27124773960216997,0.27124773960216997,0.18083182640144665,0.18083182640144665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CQ,97.30238163311981,49.28131416837782,11.601642710472278,11.293634496919918,7.494866529774128,3.4907597535934287,3.0800821355236137,2.1560574948665296,1.7453798767967144,1.4373716632443532,1.4373716632443532,1.1293634496919918,1.0266940451745379,1.0266940451745379,0.9240246406570842,0.8213552361396305,0.5133470225872689,0.41067761806981523,0.41067761806981523,0.3080082135523614,0.3080082135523614,0.10266940451745381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CR,95.19656057874218,24.474789915966387,13.760504201680673,13.655462184873949,12.815126050420167,6.512605042016808,5.2521008403361344,2.73109243697479,2.3109243697478994,2.3109243697478994,2.100840336134454,1.7857142857142856,1.5756302521008403,1.4705882352941175,1.1554621848739497,0.9453781512605042,0.8403361344537815,0.7352941176470588,0.7352941176470588,0.7352941176470588,0.6302521008403361,0.6302521008403361,0.6302521008403361,0.42016806722689076,0.42016806722689076,0.42016806722689076,0.42016806722689076,0.31512605042016806,0.10504201680672269,0.10504201680672269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CT,147.59644614827877,36.38211382113821,13.956639566395665,13.685636856368562,8.672086720867208,8.062330623306233,5.826558265582656,2.100271002710027,1.7615176151761516,1.3550135501355014,1.2195121951219512,1.151761517615176,1.0162601626016259,0.9485094850948509,0.8807588075880758,0.8807588075880758,0.6775067750677507,0.5420054200542005,0.27100271002710025,0.27100271002710025,0.20325203252032523,0.13550135501355012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Embassament de Foix (Castellet i la Gornal),CW,48.65490937029261,19.301848049281315,18.68583162217659,18.480492813141684,15.195071868583163,5.133470225872689,3.696098562628337,3.285420944558522,2.8747433264887063,2.6694045174537986,1.8480492813141685,1.642710472279261,1.2320328542094456,0.8213552361396305,0.8213552361396305,0.8213552361396305,0.8213552361396305,0.6160164271047228,0.6160164271047228,0.41067761806981523,0.41067761806981523,0.41067761806981523,0.20533880903490762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
