aca_sensor,meteocat_station,distance
Embassament de Foix (Castellet i la Gornal),CC,102.06801252827611
Embassament de Foix (Castellet i la Gornal),CD,125.18683913923307
Embassament de Foix (Castellet i la Gornal),CE,33.29614728476842
Embassament de Foix (Castellet i la Gornal),CG,139.79275017573374
Embassament de Foix (Castellet i la Gornal),CI,126.18651080536009
Embassament de Foix (Castellet i la Gornal),CJ,109.95964978862725
Embassament de Foix (Castellet i la Gornal),CL,47.481304163770744
Embassament de Foix (Castellet i la Gornal),CP,110.57938468264935
Embassament de Foix (Castellet i la Gornal),CQ,97.30238163311981
Embassament de Foix (Castellet i la Gornal),CR,95.19656057874218
Embassament de Foix (Castellet i la Gornal),CT,147.59644614827877
Embassament de Foix (Castellet i la Gornal),CW,48.65490937029261
Embassament de Foix (Castellet i la Gornal),CY,81.96040891424946
Embassament de Foix (Castellet i la Gornal),C6,73.46590649132418
Embassament de Foix (Castellet i la Gornal),C7,61.26939727133865
Embassament de Foix (Castellet i la Gornal),C8,55.26690141954262
Embassament de Foix (Castellet i la Gornal),C9,121.02138814816072
Embassament de Foix (Castellet i la Gornal),DB,89.36432009897663
Embassament de Foix (Castellet i la Gornal),DF,140.50296810052524
Embassament de Foix (Castellet i la Gornal),DG,133.66742872807257
Embassament de Foix (Castellet i la Gornal),DI,19.82225143108218
Embassament de Foix (Castellet i la Gornal),DJ,134.64581576065987
Embassament de Foix (Castellet i la Gornal),DK,22.94979253962552
Embassament de Foix (Castellet i la Gornal),DL,91.82376656138575
Embassament de Foix (Castellet i la Gornal),DN,113.18289208616227
Embassament de Foix (Castellet i la Gornal),DO,130.6178886014463
Embassament de Foix (Castellet i la Gornal),DP,126.82537286513028
Embassament de Foix (Castellet i la Gornal),DQ,24.83662852243629
Embassament de Foix (Castellet i la Gornal),D1,75.24859104443377
Embassament de Foix (Castellet i la Gornal),D2,43.43888241416679
Embassament de Foix (Castellet i la Gornal),D3,27.65438914136636
