data,valor,percentatge,codiEstacio,codiVariable
2018-09-01Z,8.5,100,CC,1300
2018-09-02Z,0.0,100,CC,1300
2018-09-03Z,21.0,100,CC,1300
2018-09-04Z,14.8,100,CC,1300
2018-09-05Z,0.0,100,CC,1300
2018-09-06Z,135.5,100,CC,1300
2018-09-07Z,1.0,100,CC,1300
2018-09-08Z,0.0,100,CC,1300
2018-09-09Z,0.0,100,CC,1300
2018-09-10Z,0.0,100,CC,1300
2018-09-11Z,0.0,100,CC,1300
2018-09-12Z,3.0,100,CC,1300
2018-09-13Z,0.0,100,CC,1300
2018-09-14Z,0.0,100,CC,1300
2018-09-15Z,0.0,100,CC,1300
2018-09-16Z,6.8,100,CC,1300
2018-09-17Z,0.0,100,CC,1300
2018-09-18Z,0.0,100,CC,1300
2018-09-19Z,0.0,100,CC,1300
2018-09-20Z,0.0,100,CC,1300
2018-09-21Z,0.2,100,CC,1300
2018-09-22Z,0.0,100,CC,1300
2018-09-23Z,0.0,100,CC,1300
2018-09-24Z,0.0,100,CC,1300
2018-09-25Z,0.0,100,CC,1300
2018-09-26Z,0.0,100,CC,1300
2018-09-27Z,0.0,100,CC,1300
2018-09-28Z,0.0,100,CC,1300
2018-09-29Z,0.0,100,CC,1300
2018-09-30Z,0.0,100,CC,1300
2018-09-01Z,0.0,100,CD,1300
2018-09-02Z,0.0,100,CD,1300
2018-09-03Z,18.2,100,CD,1300
2018-09-04Z,6.8,100,CD,1300
2018-09-05Z,25.7,100,CD,1300
2018-09-06Z,4.0,100,CD,1300
2018-09-07Z,0.0,100,CD,1300
2018-09-08Z,0.0,100,CD,1300
2018-09-09Z,2.0,100,CD,1300
2018-09-10Z,0.1,100,CD,1300
2018-09-11Z,0.0,100,CD,1300
2018-09-12Z,0.0,100,CD,1300
2018-09-13Z,0.0,100,CD,1300
2018-09-14Z,0.0,100,CD,1300
2018-09-15Z,0.0,100,CD,1300
2018-09-16Z,5.0,100,CD,1300
2018-09-17Z,0.0,100,CD,1300
2018-09-18Z,1.1,100,CD,1300
2018-09-19Z,0.1,100,CD,1300
2018-09-20Z,0.0,100,CD,1300
2018-09-21Z,0.0,100,CD,1300
2018-09-22Z,0.0,100,CD,1300
2018-09-23Z,0.0,100,CD,1300
2018-09-24Z,0.0,100,CD,1300
2018-09-25Z,0.0,100,CD,1300
2018-09-26Z,0.0,100,CD,1300
2018-09-27Z,0.0,100,CD,1300
2018-09-28Z,0.0,100,CD,1300
2018-09-29Z,0.0,100,CD,1300
2018-09-30Z,0.0,100,CD,1300
2018-09-01Z,0.1,100,CE,1300
2018-09-02Z,0.0,100,CE,1300
2018-09-03Z,0.1,100,CE,1300
2018-09-04Z,0.6,100,CE,1300
2018-09-05Z,0.0,100,CE,1300
2018-09-06Z,21.7,100,CE,1300
2018-09-07Z,0.1,100,CE,1300
2018-09-08Z,0.0,100,CE,1300
2018-09-09Z,3.9,100,CE,1300
2018-09-10Z,0.0,100,CE,1300
2018-09-11Z,0.0,100,CE,1300
2018-09-12Z,32.2,100,CE,1300
2018-09-13Z,0.1,100,CE,1300
2018-09-14Z,0.0,100,CE,1300
2018-09-15Z,1.3,100,CE,1300
