data,valor,percentatge,codiEstacio,codiVariable
2022-07-01Z,0.0,100,C6,1300
2022-07-02Z,0.0,100,C6,1300
2022-07-03Z,2.5,100,C6,1300
2022-07-04Z,0.0,100,C6,1300
2022-07-05Z,0.0,100,C6,1300
2022-07-06Z,16.6,100,C6,1300
2022-07-07Z,0.0,100,C6,1300
2022-07-08Z,0.0,100,C6,1300
2022-07-09Z,0.0,100,C6,1300
2022-07-10Z,0.0,100,C6,1300
2022-07-11Z,0.0,100,C6,1300
2022-07-12Z,0.0,100,C6,1300
2022-07-13Z,0.0,100,C6,1300
2022-07-14Z,0.0,100,C6,1300
2022-07-15Z,0.0,100,C6,1300
2022-07-16Z,0.0,100,C6,1300
2022-07-17Z,0.0,100,C6,1300
2022-07-18Z,0.0,100,C6,1300
2022-07-19Z,0.0,100,C6,1300
2022-07-20Z,0.0,100,C6,1300
2022-07-21Z,0.0,100,C6,1300
2022-07-22Z,0.0,100,C6,1300
2022-07-23Z,0.0,100,C6,1300
2022-07-24Z,0.0,100,C6,1300
2022-07-25Z,0.0,100,C6,1300
2022-07-26Z,0.0,100,C6,1300
2022-07-27Z,0.0,100,C6,1300
2022-07-28Z,1.0,100,C6,1300
2022-07-29Z,0.0,100,C6,1300
2022-07-30Z,0.0,100,C6,1300
2022-07-31Z,0.0,100,C6,1300
2022-07-01Z,0.0,100,C7,1300
2022-07-02Z,0.0,100,C7,1300
2022-07-03Z,1.7,100,C7,1300
2022-07-04Z,0.0,100,C7,1300
2022-07-05Z,0.1,100,C7,1300
2022-07-06Z,18.4,100,C7,1300
2022-07-07Z,0.0,100,C7,1300
2022-07-08Z,0.0,100,C7,1300
2022-07-09Z,0.0,100,C7,1300
2022-07-10Z,0.0,100,C7,1300
2022-07-11Z,0.0,100,C7,1300
2022-07-12Z,0.0,100,C7,1300
2022-07-13Z,0.0,100,C7,1300
2022-07-14Z,0.0,100,C7,1300
2022-07-15Z,0.0,100,C7,1300
2022-07-16Z,0.0,100,C7,1300
2022-07-17Z,0.0,100,C7,1300
2022-07-18Z,0.0,100,C7,1300
2022-07-19Z,0.0,100,C7,1300
2022-07-20Z,0.0,100,C7,1300
2022-07-21Z,0.0,100,C7,1300
2022-07-22Z,0.0,100,C7,1300
2022-07-23Z,0.0,100,C7,1300
2022-07-24Z,0.0,100,C7,1300
2022-07-25Z,0.0,100,C7,1300
2022-07-26Z,0.0,100,C7,1300
2022-07-27Z,0.0,100,C7,1300
2022-07-28Z,0.3,100,C7,1300
2022-07-29Z,1.8,100,C7,1300
2022-07-30Z,0.0,100,C7,1300
2022-07-31Z,0.0,100,C7,1300
2022-07-01Z,0.1,100,C8,1300
2022-07-02Z,0.0,100,C8,1300
2022-07-03Z,0.3,100,C8,1300
2022-07-04Z,0.0,100,C8,1300
2022-07-05Z,0.0,100,C8,1300
2022-07-06Z,21.4,100,C8,1300
2022-07-07Z,0.0,100,C8,1300
2022-07-08Z,0.0,100,C8,1300
2022-07-09Z,0.0,100,C8,1300
2022-07-10Z,0.0,100,C8,1300
2022-07-11Z,0.0,100,C8,1300
2022-07-12Z,0.0,100,C8,1300
2022-07-13Z,0.0,100,C8,1300
2022-07-14Z,0.0,100,C8,1300
2022-07-15Z,0.0,100,C8,1300
2022-07-16Z,0.0,100,C8,1300
2022-07-17Z,0.0,100,C8,1300
2022-07-18Z,0.0,100,C8,1300
2022-07-19Z,0.0,100,C8,1300
2022-07-20Z,0.0,100,C8,1300
2022-07-21Z,0.0,100,C8,1300
2022-07-22Z,0.0,100,C8,1300
2022-07-23Z,0.0,100,C8,1300
2022-07-24Z,0.0,100,C8,1300
2022-07-25Z,0.0,100,C8,1300
2022-07-26Z,0.0,100,C8,1300
2022-07-27Z,0.0,100,C8,1300
2022-07-28Z,26.6,100,C8,1300
2022-07-29Z,0.1,100,C8,1300
2022-07-30Z,0.0,100,C8,1300
2022-07-31Z,0.1,100,C8,1300
2022-07-01Z,0.0,100,C9,1300
2022-07-02Z,0.0,100,C9,1300
2022-07-03Z,0.0,100,C9,1300
2022-07-04Z,0.0,100,C9,1300
2022-07-05Z,0.5,100,C9,1300
2022-07-06Z,11.2,100,C9,1300
2022-07-07Z,0.0,100,C9,1300
2022-07-08Z,0.0,100,C9,1300
2022-07-09Z,0.0,100,C9,1300
2022-07-10Z,0.0,100,C9,1300
2022-07-11Z,0.0,100,C9,1300
2022-07-12Z,0.0,100,C9,1300
2022-07-13Z,0.0,100,C9,1300
2022-07-14Z,0.0,100,C9,1300
2022-07-15Z,0.0,100,C9,1300
2022-07-16Z,0.0,100,C9,1300
2022-07-17Z,0.0,100,C9,1300
2022-07-18Z,0.0,100,C9,1300
2022-07-19Z,0.0,100,C9,1300
2022-07-20Z,0.0,100,C9,1300
2022-07-21Z,0.0,100,C9,1300
2022-07-22Z,0.0,100,C9,1300
2022-07-23Z,0.0,100,C9,1300
2022-07-24Z,0.0,100,C9,1300
2022-07-25Z,0.0,100,C9,1300
2022-07-26Z,0.0,100,C9,1300
2022-07-27Z,0.0,100,C9,1300
2022-07-28Z,0.2,100,C9,1300
2022-07-29Z,0.3,100,C9,1300
2022-07-30Z,0.0,100,C9,1300
2022-07-31Z,0.0,100,C9,1300
2022-07-01Z,2.9,100,CC,1300
2022-07-02Z,0.0,100,CC,1300
2022-07-03Z,0.0,100,CC,1300
2022-07-04Z,0.0,100,CC,1300
2022-07-05Z,0.0,100,CC,1300
2022-07-06Z,2.8,100,CC,1300
2022-07-07Z,0.0,100,CC,1300
2022-07-08Z,0.0,100,CC,1300
2022-07-09Z,0.0,100,CC,1300
2022-07-10Z,0.0,100,CC,1300
2022-07-11Z,0.0,100,CC,1300
2022-07-12Z,0.0,100,CC,1300
2022-07-13Z,0.0,100,CC,1300
2022-07-14Z,0.0,100,CC,1300
2022-07-15Z,0.0,100,CC,1300
2022-07-16Z,0.0,100,CC,1300
2022-07-17Z,0.0,100,CC,1300
2022-07-18Z,0.0,100,CC,1300
2022-07-19Z,0.0,100,CC,1300
2022-07-20Z,0.0,100,CC,1300
2022-07-21Z,0.0,100,CC,1300
2022-07-22Z,0.0,100,CC,1300
2022-07-23Z,0.0,100,CC,1300
2022-07-24Z,0.0,100,CC,1300
2022-07-25Z,0.7,100,CC,1300
2022-07-26Z,0.0,100,CC,1300
2022-07-27Z,0.0,100,CC,1300
2022-07-28Z,0.0,100,CC,1300
2022-07-29Z,0.0,100,CC,1300
2022-07-30Z,0.0,100,CC,1300
2022-07-31Z,76.0,100,CC,1300
2022-07-01Z,0.0,100,CD,1300
2022-07-02Z,0.0,100,CD,1300
2022-07-03Z,2.9,100,CD,1300
2022-07-04Z,0.7,100,CD,1300
2022-07-05Z,0.0,100,CD,1300
2022-07-06Z,12.3,100,CD,1300
2022-07-07Z,0.0,100,CD,1300
2022-07-08Z,0.0,100,CD,1300
2022-07-09Z,0.0,100,CD,1300
2022-07-10Z,0.0,100,CD,1300
2022-07-11Z,0.0,100,CD,1300
2022-07-12Z,0.0,100,CD,1300
2022-07-13Z,0.0,100,CD,1300
2022-07-14Z,0.0,100,CD,1300
2022-07-15Z,0.0,100,CD,1300
2022-07-16Z,0.0,100,CD,1300
2022-07-17Z,0.0,100,CD,1300
2022-07-18Z,0.0,100,CD,1300
2022-07-19Z,0.0,100,CD,1300
2022-07-20Z,0.0,100,CD,1300
2022-07-21Z,0.0,100,CD,1300
2022-07-22Z,0.0,100,CD,1300
2022-07-23Z,0.0,100,CD,1300
2022-07-24Z,0.0,100,CD,1300
2022-07-25Z,0.0,100,CD,1300
2022-07-26Z,0.0,100,CD,1300
2022-07-27Z,0.0,100,CD,1300
2022-07-28Z,0.1,100,CD,1300
