data,valor,percentatge,codiEstacio,codiVariable
1996-03-01Z,0.0,95.8,C7,1300
1996-03-02Z,0.2,100.0,C7,1300
1996-03-03Z,0.0,97.9,C7,1300
1996-03-04Z,0.2,100.0,C7,1300
1996-03-05Z,0.0,100.0,C7,1300
1996-03-06Z,0.0,95.8,C7,1300
1996-03-08Z,1.8,100.0,C7,1300
1996-03-09Z,0.0,97.9,C7,1300
1996-03-10Z,1.4,97.9,C7,1300
1996-03-14Z,0.8,100.0,C7,1300
1996-03-17Z,0.0,100.0,C7,1300
1996-03-18Z,2.4,97.9,C7,1300
1996-03-19Z,0.0,100.0,C7,1300
1996-03-20Z,0.0,100.0,C7,1300
1996-03-21Z,0.0,100.0,C7,1300
1996-03-22Z,0.0,100.0,C7,1300
1996-03-23Z,0.0,97.9,C7,1300
1996-03-24Z,0.0,100.0,C7,1300
1996-03-25Z,0.0,100.0,C7,1300
1996-03-28Z,0.0,100.0,C7,1300
1996-03-29Z,0.0,100.0,C7,1300
1996-03-30Z,2.8,100.0,C7,1300
1996-03-31Z,1.6,100.0,C7,1300
1996-03-01Z,0.4,95.8,C8,1300
1996-03-02Z,0.0,100.0,C8,1300
1996-03-03Z,0.0,100.0,C8,1300
1996-03-04Z,0.0,97.9,C8,1300
1996-03-05Z,0.0,100.0,C8,1300
1996-03-06Z,0.2,95.8,C8,1300
1996-03-08Z,0.0,97.9,C8,1300
1996-03-09Z,0.0,97.9,C8,1300
1996-03-10Z,0.2,97.9,C8,1300
1996-03-11Z,0.0,97.9,C8,1300
1996-03-24Z,0.0,100.0,C8,1300
1996-03-25Z,0.0,100.0,C8,1300
1996-03-01Z,0.0,100.0,CH,1300
1996-03-02Z,0.0,100.0,CH,1300
1996-03-03Z,0.0,100.0,CH,1300
1996-03-04Z,0.0,100.0,CH,1300
1996-03-05Z,0.0,100.0,CH,1300
1996-03-06Z,0.0,95.8,CH,1300
1996-03-08Z,1.0,97.9,CH,1300
1996-03-09Z,0.4,97.9,CH,1300
1996-03-10Z,0.0,97.9,CH,1300
1996-03-11Z,0.0,100.0,CH,1300
1996-03-12Z,0.0,97.9,CH,1300
1996-03-13Z,0.8,100.0,CH,1300
1996-03-14Z,36.8,97.9,CH,1300
