data,valor,percentatge,codiEstacio,codiVariable
2004-05-01Z,0.0,100.0,C6,1300
2004-05-04Z,0.6,100.0,C6,1300
2004-05-05Z,0.6,100.0,C6,1300
2004-05-06Z,0.0,100.0,C6,1300
2004-05-07Z,0.6,100.0,C6,1300
2004-05-08Z,0.0,100.0,C6,1300
2004-05-09Z,0.0,100.0,C6,1300
2004-05-10Z,3.0,100.0,C6,1300
2004-05-11Z,9.0,100.0,C6,1300
2004-05-13Z,0.0,100.0,C6,1300
2004-05-14Z,0.0,100.0,C6,1300
2004-05-15Z,2.2,100.0,C6,1300
2004-05-16Z,0.0,100.0,C6,1300
2004-05-17Z,0.0,100.0,C6,1300
2004-05-18Z,0.0,100.0,C6,1300
2004-05-19Z,0.0,100.0,C6,1300
2004-05-20Z,0.0,100.0,C6,1300
2004-05-21Z,0.0,100.0,C6,1300
2004-05-22Z,0.0,100.0,C6,1300
2004-05-23Z,0.0,100.0,C6,1300
2004-05-24Z,0.0,100.0,C6,1300
2004-05-25Z,0.0,100.0,C6,1300
2004-05-26Z,0.4,100.0,C6,1300
2004-05-27Z,0.0,100.0,C6,1300
2004-05-28Z,0.0,100.0,C6,1300
2004-05-29Z,0.0,100.0,C6,1300
2004-05-30Z,0.0,100.0,C6,1300
2004-05-31Z,0.0,100.0,C6,1300
2004-05-01Z,0.0,100.0,C7,1300
2004-05-02Z,7.4,100.0,C7,1300
2004-05-03Z,31.2,100.0,C7,1300
2004-05-04Z,1.0,100.0,C7,1300
2004-05-05Z,0.8,100.0,C7,1300
2004-05-06Z,0.0,100.0,C7,1300
2004-05-07Z,1.4,100.0,C7,1300
2004-05-08Z,0.0,100.0,C7,1300
2004-05-09Z,0.0,100.0,C7,1300
2004-05-10Z,24.4,100.0,C7,1300
2004-05-11Z,7.8,100.0,C7,1300
2004-05-12Z,1.4,100.0,C7,1300
2004-05-14Z,0.0,100.0,C7,1300
2004-05-15Z,0.0,100.0,C7,1300
2004-05-16Z,0.0,100.0,C7,1300
2004-05-17Z,0.0,100.0,C7,1300
2004-05-18Z,0.0,100.0,C7,1300
2004-05-19Z,0.0,100.0,C7,1300
2004-05-20Z,0.0,100.0,C7,1300
2004-05-21Z,0.0,100.0,C7,1300
2004-05-22Z,0.0,100.0,C7,1300
2004-05-23Z,0.0,100.0,C7,1300
2004-05-24Z,0.0,100.0,C7,1300
2004-05-25Z,0.0,100.0,C7,1300
2004-05-26Z,4.2,100.0,C7,1300
2004-05-27Z,0.0,100.0,C7,1300
2004-05-28Z,0.0,100.0,C7,1300
2004-05-29Z,0.0,100.0,C7,1300
2004-05-30Z,0.0,100.0,C7,1300
2004-05-31Z,0.0,100.0,C7,1300
2004-05-01Z,0.0,100.0,C8,1300
2004-05-02Z,1.0,100.0,C8,1300
2004-05-03Z,31.2,100.0,C8,1300
2004-05-04Z,1.0,100.0,C8,1300
2004-05-05Z,1.0,100.0,C8,1300
2004-05-06Z,0.0,100.0,C8,1300
