data,valor,percentatge,codiEstacio,codiVariable
2012-08-01Z,0.0,100,CC,1300
2012-08-02Z,0.0,100,CC,1300
2012-08-03Z,0.0,100,CC,1300
2012-08-04Z,0.0,100,CC,1300
2012-08-05Z,0.0,100,CC,1300
2012-08-06Z,31.1,100,CC,1300
2012-08-07Z,0.0,100,CC,1300
2012-08-08Z,0.0,100,CC,1300
2012-08-09Z,0.0,100,CC,1300
2012-08-10Z,0.0,100,CC,1300
2012-08-11Z,0.0,100,CC,1300
2012-08-12Z,0.0,100,CC,1300
2012-08-13Z,0.1,100,CC,1300
2012-08-14Z,0.0,100,CC,1300
2012-08-15Z,0.0,100,CC,1300
2012-08-16Z,0.0,100,CC,1300
2012-08-17Z,0.0,100,CC,1300
2012-08-18Z,0.0,100,CC,1300
2012-08-19Z,0.0,100,CC,1300
2012-08-20Z,0.0,100,CC,1300
2012-08-21Z,0.0,100,CC,1300
2012-08-22Z,0.0,100,CC,1300
2012-08-23Z,0.0,100,CC,1300
2012-08-24Z,0.0,100,CC,1300
2012-08-25Z,0.1,100,CC,1300
2012-08-26Z,0.0,100,CC,1300
2012-08-27Z,0.0,100,CC,1300
2012-08-28Z,0.5,100,CC,1300
2012-08-29Z,0.9,100,CC,1300
2012-08-30Z,17.9,100,CC,1300
2012-08-31Z,0.1,100,CC,1300
2012-08-01Z,0.0,100,CD,1300
2012-08-02Z,0.0,100,CD,1300
2012-08-03Z,0.0,100,CD,1300
2012-08-04Z,0.0,100,CD,1300
2012-08-05Z,2.5,100,CD,1300
2012-08-06Z,0.0,100,CD,1300
2012-08-07Z,0.0,100,CD,1300
2012-08-08Z,0.0,100,CD,1300
2012-08-09Z,0.0,100,CD,1300
2012-08-10Z,0.0,100,CD,1300
2012-08-11Z,0.2,100,CD,1300
2012-08-12Z,0.0,100,CD,1300
2012-08-13Z,0.0,100,CD,1300
2012-08-14Z,0.0,100,CD,1300
2012-08-15Z,0.0,100,CD,1300
2012-08-16Z,0.0,100,CD,1300
2012-08-17Z,0.0,100,CD,1300
2012-08-18Z,0.0,100,CD,1300
2012-08-19Z,0.0,100,CD,1300
2012-08-20Z,0.0,100,CD,1300
2012-08-21Z,0.0,100,CD,1300
2012-08-22Z,0.0,100,CD,1300
2012-08-23Z,0.0,100,CD,1300
2012-08-24Z,0.0,100,CD,1300
2012-08-25Z,0.0,100,CD,1300
2012-08-26Z,0.0,100,CD,1300
2012-08-27Z,0.0,100,CD,1300
