data,valor,percentatge,codiEstacio,codiVariable
1991-06-14Z,0.2,100.0,U1,1300
1991-06-15Z,0.0,100.0,U1,1300
1991-06-18Z,0.2,100.0,U1,1300
1991-06-19Z,0.0,100.0,U1,1300
1991-06-20Z,0.4,100.0,U1,1300
1991-06-21Z,0.0,100.0,U1,1300
1991-06-22Z,0.2,100.0,U1,1300
1991-06-23Z,0.0,100.0,U1,1300
1991-06-24Z,0.0,100.0,U1,1300
1991-06-25Z,0.0,100.0,U1,1300
1991-06-26Z,0.0,100.0,U1,1300
1991-06-29Z,0.4,100.0,U1,1300
1991-06-30Z,0.0,100.0,U1,1300
1991-06-14Z,0.0,100.0,U2,1300
1991-06-15Z,0.0,100.0,U2,1300
1991-06-16Z,7.3,100.0,U2,1300
1991-06-17Z,8.0,100.0,U2,1300
1991-06-18Z,0.0,100.0,U2,1300
1991-06-19Z,0.0,100.0,U2,1300
1991-06-20Z,0.0,100.0,U2,1300
1991-06-21Z,0.0,100.0,U2,1300
1991-06-22Z,0.2,100.0,U2,1300
1991-06-23Z,0.0,100.0,U2,1300
1991-06-24Z,0.0,100.0,U2,1300
1991-06-25Z,0.0,100.0,U2,1300
1991-06-26Z,0.0,100.0,U2,1300
1991-06-27Z,0.0,100.0,U2,1300
1991-06-28Z,0.0,100.0,U2,1300
1991-06-29Z,0.0,100.0,U2,1300
1991-06-30Z,0.0,100.0,U2,1300
1991-06-14Z,0.0,100.0,U6,1300
1991-06-15Z,0.0,100.0,U6,1300
1991-06-16Z,0.6,100.0,U6,1300
1991-06-17Z,0.4,100.0,U6,1300
1991-06-18Z,0.2,100.0,U6,1300
1991-06-19Z,0.0,100.0,U6,1300
1991-06-20Z,0.0,100.0,U6,1300
1991-06-21Z,0.0,100.0,U6,1300
1991-06-22Z,0.0,100.0,U6,1300
1991-06-23Z,0.0,100.0,U6,1300
1991-06-24Z,0.0,100.0,U6,1300
1991-06-25Z,0.0,100.0,U6,1300
1991-06-26Z,0.0,100.0,U6,1300
1991-06-27Z,0.0,100.0,U6,1300
1991-06-28Z,0.0,100.0,U6,1300
1991-06-29Z,0.0,100.0,U6,1300
1991-06-30Z,0.0,100.0,U6,1300
1991-06-14Z,0.0,100.0,U9,1300
1991-06-15Z,0.0,100.0,U9,1300
1991-06-16Z,0.0,100.0,U9,1300
1991-06-17Z,0.0,100.0,U9,1300
1991-06-18Z,0.0,100.0,U9,1300
1991-06-19Z,0.0,100.0,U9,1300
1991-06-20Z,0.0,100.0,U9,1300
1991-06-21Z,0.0,100.0,U9,1300
1991-06-22Z,0.0,100.0,U9,1300
1991-06-23Z,0.0,100.0,U9,1300
1991-06-24Z,0.0,100.0,U9,1300
1991-06-25Z,0.0,100.0,U9,1300
1991-06-26Z,0.0,95.8,U9,1300
1991-06-14Z,0.0,100.0,UB,1300
1991-06-15Z,0.0,100.0,UB,1300
1991-06-16Z,4.8,100.0,UB,1300
1991-06-17Z,6.8,100.0,UB,1300
1991-06-18Z,1.8,100.0,UB,1300
1991-06-20Z,0.0,100.0,UB,1300
1991-06-21Z,0.0,100.0,UB,1300
1991-06-22Z,0.0,100.0,UB,1300
1991-06-23Z,0.0,100.0,UB,1300
1991-06-24Z,0.0,100.0,UB,1300
1991-06-25Z,0.0,100.0,UB,1300
1991-06-26Z,0.0,100.0,UB,1300
1991-06-27Z,0.0,100.0,UB,1300
1991-06-14Z,0.2,100.0,UR,1300
1991-06-15Z,0.0,100.0,UR,1300
1991-06-16Z,0.2,100.0,UR,1300
1991-06-17Z,29.0,100.0,UR,1300
1991-06-18Z,8.7,100.0,UR,1300
1991-06-19Z,0.2,100.0,UR,1300
1991-06-20Z,0.2,100.0,UR,1300
1991-06-21Z,0.0,100.0,UR,1300
1991-06-22Z,0.0,100.0,UR,1300
1991-06-23Z,0.0,100.0,UR,1300
1991-06-24Z,0.0,100.0,UR,1300
1991-06-25Z,0.0,100.0,UR,1300
1991-06-26Z,0.0,100.0,UR,1300
1991-06-27Z,0.0,100.0,UR,1300
1991-06-29Z,0.0,100.0,UR,1300
1991-06-30Z,0.0,100.0,UR,1300
1991-06-14Z,0.0,100.0,US,1300
1991-06-15Z,0.0,100.0,US,1300
1991-06-16Z,4.6,100.0,US,1300
1991-06-17Z,0.0,100.0,US,1300
1991-06-18Z,0.2,100.0,US,1300
1991-06-19Z,0.4,100.0,US,1300
1991-06-20Z,0.0,100.0,US,1300
1991-06-21Z,0.0,100.0,US,1300
1991-06-22Z,0.0,100.0,US,1300
1991-06-23Z,0.0,100.0,US,1300
1991-06-24Z,0.0,100.0,US,1300
1991-06-25Z,0.0,100.0,US,1300
1991-06-26Z,0.0,100.0,US,1300
1991-06-27Z,0.8,100.0,US,1300
1991-06-28Z,0.0,100.0,US,1300
1991-06-29Z,0.0,100.0,US,1300
1991-06-30Z,0.0,100.0,US,1300
1991-06-14Z,0.0,100.0,UX,1300
1991-06-15Z,0.0,100.0,UX,1300
1991-06-17Z,0.0,100.0,UX,1300
1991-06-18Z,0.4,100.0,UX,1300
1991-06-19Z,0.4,100.0,UX,1300
1991-06-20Z,0.0,100.0,UX,1300
1991-06-21Z,0.0,100.0,UX,1300
1991-06-22Z,0.0,100.0,UX,1300
1991-06-23Z,0.0,100.0,UX,1300
1991-06-24Z,0.0,100.0,UX,1300
1991-06-25Z,0.0,100.0,UX,1300
1991-06-26Z,0.0,100.0,UX,1300
1991-06-27Z,0.0,100.0,UX,1300
1991-06-28Z,0.0,100.0,UX,1300
1991-06-29Z,0.0,100.0,UX,1300
1991-06-30Z,0.0,100.0,UX,1300
1991-06-14Z,0.0,100.0,V1,1300
1991-06-15Z,0.6,100.0,V1,1300
1991-06-16Z,0.2,100.0,V1,1300
1991-06-17Z,0.0,100.0,V1,1300
1991-06-18Z,0.0,100.0,V1,1300
1991-06-19Z,0.0,100.0,V1,1300
1991-06-20Z,0.0,100.0,V1,1300
1991-06-21Z,0.0,100.0,V1,1300
1991-06-22Z,0.0,100.0,V1,1300
1991-06-23Z,0.0,100.0,V1,1300
1991-06-24Z,0.0,100.0,V1,1300
1991-06-25Z,0.0,100.0,V1,1300
1991-06-26Z,0.0,100.0,V1,1300
1991-06-27Z,0.0,100.0,V1,1300
1991-06-28Z,0.0,100.0,V1,1300
1991-06-29Z,0.0,100.0,V1,1300
1991-06-30Z,0.0,100.0,V1,1300
1991-06-14Z,0.0,100.0,V8,1300
1991-06-15Z,0.6,100.0,V8,1300
1991-06-16Z,1.6,100.0,V8,1300
1991-06-17Z,1.6,100.0,V8,1300
1991-06-18Z,0.0,100.0,V8,1300
1991-06-19Z,0.0,100.0,V8,1300
1991-06-20Z,0.4,100.0,V8,1300
1991-06-21Z,0.0,100.0,V8,1300
1991-06-22Z,1.8,100.0,V8,1300
1991-06-23Z,0.0,100.0,V8,1300
1991-06-24Z,0.0,100.0,V8,1300
