data,valor,percentatge,codiEstacio,codiVariable
1998-02-01Z,0.0,100.0,AN,1300
1998-02-02Z,0.8,100.0,AN,1300
1998-02-03Z,4.6,100.0,AN,1300
1998-02-04Z,0.0,100.0,AN,1300
1998-02-05Z,0.0,100.0,AN,1300
1998-02-06Z,0.0,100.0,AN,1300
1998-02-07Z,0.0,100.0,AN,1300
1998-02-08Z,0.0,100.0,AN,1300
1998-02-09Z,0.0,100.0,AN,1300
1998-02-10Z,0.0,100.0,AN,1300
1998-02-11Z,0.0,100.0,AN,1300
1998-02-12Z,0.0,100.0,AN,1300
1998-02-13Z,0.0,100.0,AN,1300
1998-02-14Z,0.0,100.0,AN,1300
1998-02-15Z,0.0,100.0,AN,1300
1998-02-16Z,0.0,100.0,AN,1300
1998-02-17Z,0.0,100.0,AN,1300
1998-02-18Z,0.0,100.0,AN,1300
1998-02-19Z,0.0,97.9,AN,1300
1998-02-20Z,0.0,100.0,AN,1300
1998-02-21Z,0.0,97.9,AN,1300
1998-02-22Z,0.0,100.0,AN,1300
1998-02-23Z,0.0,100.0,AN,1300
1998-02-24Z,0.0,100.0,AN,1300
1998-02-25Z,0.0,100.0,AN,1300
1998-02-26Z,0.0,100.0,AN,1300
1998-02-27Z,0.0,97.9,AN,1300
1998-02-28Z,0.0,100.0,AN,1300
1998-02-01Z,0.6,100.0,C6,1300
1998-02-02Z,9.6,97.9,C6,1300
1998-02-03Z,3.2,100.0,C6,1300
1998-02-04Z,0.2,100.0,C6,1300
1998-02-05Z,0.0,100.0,C6,1300
1998-02-06Z,0.0,100.0,C6,1300
1998-02-07Z,0.0,100.0,C6,1300
1998-02-08Z,0.2,100.0,C6,1300
1998-02-09Z,0.0,100.0,C6,1300
1998-02-10Z,0.2,100.0,C6,1300
1998-02-11Z,0.2,100.0,C6,1300
1998-02-12Z,0.0,100.0,C6,1300
1998-02-13Z,0.2,100.0,C6,1300
1998-02-14Z,0.2,100.0,C6,1300
1998-02-15Z,0.0,100.0,C6,1300
1998-02-16Z,0.0,100.0,C6,1300
1998-02-17Z,0.2,100.0,C6,1300
1998-02-18Z,0.0,100.0,C6,1300
1998-02-19Z,0.0,100.0,C6,1300
1998-02-20Z,0.0,100.0,C6,1300
1998-02-21Z,0.2,100.0,C6,1300
1998-02-22Z,0.0,100.0,C6,1300
1998-02-23Z,0.0,100.0,C6,1300
1998-02-24Z,0.0,100.0,C6,1300
1998-02-25Z,0.0,97.9,C6,1300
1998-02-26Z,0.0,100.0,C6,1300
1998-02-27Z,0.0,100.0,C6,1300
1998-02-28Z,0.0,100.0,C6,1300
1998-02-01Z,0.8,100.0,C7,1300
1998-02-02Z,6.2,97.9,C7,1300
1998-02-03Z,3.4,100.0,C7,1300
1998-02-04Z,0.0,100.0,C7,1300
1998-02-05Z,0.0,100.0,C7,1300
1998-02-06Z,0.0,100.0,C7,1300
1998-02-07Z,0.0,100.0,C7,1300
1998-02-08Z,0.2,100.0,C7,1300
1998-02-09Z,0.0,100.0,C7,1300
1998-02-10Z,0.0,100.0,C7,1300
1998-02-11Z,0.0,100.0,C7,1300
1998-02-12Z,0.0,100.0,C7,1300
1998-02-13Z,0.0,100.0,C7,1300
1998-02-14Z,0.2,100.0,C7,1300
1998-02-15Z,0.2,100.0,C7,1300
1998-02-16Z,0.0,100.0,C7,1300
1998-02-17Z,0.0,100.0,C7,1300
1998-02-18Z,0.0,100.0,C7,1300
1998-02-19Z,0.0,100.0,C7,1300
1998-02-20Z,0.0,100.0,C7,1300
1998-02-21Z,0.0,100.0,C7,1300
1998-02-22Z,0.0,100.0,C7,1300
1998-02-23Z,0.0,100.0,C7,1300
1998-02-24Z,0.0,100.0,C7,1300
1998-02-25Z,0.0,100.0,C7,1300
1998-02-26Z,0.0,100.0,C7,1300
1998-02-27Z,0.0,100.0,C7,1300
1998-02-28Z,0.0,100.0,C7,1300
1998-02-01Z,0.6,100.0,C8,1300
1998-02-02Z,4.0,100.0,C8,1300
1998-02-03Z,2.4,100.0,C8,1300
1998-02-04Z,0.4,100.0,C8,1300
1998-02-05Z,0.2,100.0,C8,1300
1998-02-06Z,0.0,100.0,C8,1300
1998-02-07Z,0.0,100.0,C8,1300
1998-02-08Z,0.4,100.0,C8,1300
1998-02-09Z,0.0,100.0,C8,1300
1998-02-10Z,0.0,100.0,C8,1300
1998-02-11Z,0.0,100.0,C8,1300
1998-02-12Z,0.2,100.0,C8,1300
1998-02-13Z,0.0,100.0,C8,1300
1998-02-14Z,0.2,100.0,C8,1300
1998-02-15Z,0.0,100.0,C8,1300
1998-02-16Z,0.0,100.0,C8,1300
1998-02-17Z,0.0,100.0,C8,1300
1998-02-18Z,0.0,100.0,C8,1300
1998-02-19Z,0.0,100.0,C8,1300
1998-02-20Z,0.0,100.0,C8,1300
1998-02-21Z,0.0,100.0,C8,1300
1998-02-22Z,0.2,100.0,C8,1300
1998-02-23Z,0.0,100.0,C8,1300
1998-02-24Z,0.0,100.0,C8,1300
1998-02-25Z,0.0,100.0,C8,1300
1998-02-26Z,0.0,100.0,C8,1300
1998-02-27Z,0.2,100.0,C8,1300
1998-02-28Z,0.0,100.0,C8,1300
1998-02-01Z,1.2,100.0,C9,1300
1998-02-02Z,9.0,100.0,C9,1300
1998-02-03Z,13.6,100.0,C9,1300
1998-02-04Z,11.0,100.0,C9,1300
1998-02-05Z,0.0,100.0,C9,1300
1998-02-06Z,0.0,100.0,C9,1300
1998-02-07Z,0.2,100.0,C9,1300
1998-02-08Z,0.0,100.0,C9,1300
1998-02-09Z,0.0,100.0,C9,1300
1998-02-10Z,0.0,100.0,C9,1300
1998-02-11Z,0.0,100.0,C9,1300
1998-02-12Z,0.0,100.0,C9,1300
1998-02-13Z,0.0,100.0,C9,1300
1998-02-14Z,0.2,100.0,C9,1300
1998-02-15Z,0.0,100.0,C9,1300
1998-02-16Z,0.0,100.0,C9,1300
1998-02-17Z,0.0,100.0,C9,1300
1998-02-18Z,0.0,100.0,C9,1300
1998-02-19Z,0.0,100.0,C9,1300
1998-02-20Z,0.2,100.0,C9,1300
1998-02-21Z,0.0,100.0,C9,1300
1998-02-22Z,0.0,100.0,C9,1300
1998-02-23Z,0.0,100.0,C9,1300
1998-02-24Z,0.0,100.0,C9,1300
1998-02-25Z,0.0,100.0,C9,1300
1998-02-26Z,0.0,100.0,C9,1300
1998-02-27Z,0.0,100.0,C9,1300
1998-02-28Z,0.0,100.0,C9,1300
1998-02-01Z,0.0,100.0,CB,1300
1998-02-02Z,2.0,100.0,CB,1300
1998-02-03Z,6.2,100.0,CB,1300
1998-02-04Z,0.0,100.0,CB,1300
1998-02-05Z,0.0,100.0,CB,1300
1998-02-06Z,0.0,100.0,CB,1300
1998-02-07Z,0.0,100.0,CB,1300
1998-02-08Z,0.0,100.0,CB,1300
1998-02-09Z,0.0,100.0,CB,1300
1998-02-10Z,0.0,100.0,CB,1300
1998-02-11Z,0.0,100.0,CB,1300
1998-02-12Z,0.0,100.0,CB,1300
1998-02-13Z,0.0,100.0,CB,1300
1998-02-14Z,0.0,100.0,CB,1300
1998-02-15Z,0.0,100.0,CB,1300
1998-02-16Z,0.0,100.0,CB,1300
1998-02-17Z,0.0,100.0,CB,1300
1998-02-18Z,0.0,100.0,CB,1300
1998-02-19Z,0.0,100.0,CB,1300
1998-02-20Z,0.0,100.0,CB,1300
1998-02-21Z,0.0,100.0,CB,1300
1998-02-22Z,0.0,100.0,CB,1300
1998-02-23Z,0.0,100.0,CB,1300
