data,valor,percentatge,codiEstacio,codiVariable
1997-09-01Z,6.6,100.0,AN,1300
1997-09-02Z,0.0,100.0,AN,1300
1997-09-03Z,0.0,100.0,AN,1300
1997-09-04Z,0.0,100.0,AN,1300
1997-09-05Z,0.0,100.0,AN,1300
1997-09-06Z,0.0,100.0,AN,1300
1997-09-07Z,0.0,100.0,AN,1300
1997-09-08Z,0.0,100.0,AN,1300
1997-09-09Z,0.0,100.0,AN,1300
1997-09-10Z,0.0,100.0,AN,1300
1997-09-11Z,0.0,100.0,AN,1300
1997-09-12Z,0.0,100.0,AN,1300
1997-09-13Z,3.4,100.0,AN,1300
1997-09-14Z,0.2,100.0,AN,1300
1997-09-15Z,0.0,100.0,AN,1300
1997-09-16Z,0.0,100.0,AN,1300
1997-09-17Z,0.0,100.0,AN,1300
1997-09-18Z,0.0,100.0,AN,1300
1997-09-19Z,0.0,100.0,AN,1300
1997-09-20Z,0.0,100.0,AN,1300
1997-09-21Z,3.6,100.0,AN,1300
1997-09-22Z,0.0,100.0,AN,1300
1997-09-23Z,0.0,97.9,AN,1300
1997-09-24Z,0.0,100.0,AN,1300
1997-09-25Z,0.0,100.0,AN,1300
1997-09-26Z,0.0,100.0,AN,1300
1997-09-27Z,0.0,100.0,AN,1300
1997-09-28Z,0.0,100.0,AN,1300
1997-09-29Z,0.0,100.0,AN,1300
1997-09-30Z,0.0,100.0,AN,1300
1997-09-01Z,11.8,100.0,C6,1300
1997-09-02Z,0.0,100.0,C6,1300
1997-09-03Z,0.0,100.0,C6,1300
1997-09-04Z,0.0,100.0,C6,1300
1997-09-05Z,0.0,100.0,C6,1300
1997-09-07Z,0.0,100.0,C6,1300
1997-09-08Z,0.0,100.0,C6,1300
1997-09-09Z,0.0,100.0,C6,1300
1997-09-10Z,0.0,100.0,C6,1300
1997-09-11Z,0.0,100.0,C6,1300
1997-09-12Z,0.0,100.0,C6,1300
1997-09-14Z,0.0,100.0,C6,1300
1997-09-15Z,0.0,100.0,C6,1300
1997-09-16Z,0.0,100.0,C6,1300
1997-09-17Z,0.0,100.0,C6,1300
1997-09-19Z,0.0,100.0,C6,1300
1997-09-20Z,0.0,100.0,C6,1300
1997-09-21Z,0.0,100.0,C6,1300
1997-09-22Z,0.0,100.0,C6,1300
1997-09-23Z,0.0,100.0,C6,1300
1997-09-24Z,0.0,97.9,C6,1300
1997-09-25Z,1.8,100.0,C6,1300
1997-09-26Z,0.0,100.0,C6,1300
1997-09-27Z,0.0,100.0,C6,1300
1997-09-28Z,0.0,100.0,C6,1300
1997-09-29Z,0.0,100.0,C6,1300
1997-09-30Z,0.0,100.0,C6,1300
1997-09-01Z,13.8,100.0,C7,1300
1997-09-02Z,0.0,100.0,C7,1300
1997-09-03Z,0.0,100.0,C7,1300
1997-09-04Z,0.0,100.0,C7,1300
1997-09-05Z,0.0,100.0,C7,1300
1997-09-06Z,0.0,100.0,C7,1300
1997-09-07Z,0.0,100.0,C7,1300
1997-09-08Z,0.0,100.0,C7,1300
1997-09-09Z,0.0,100.0,C7,1300
1997-09-10Z,0.0,100.0,C7,1300
1997-09-11Z,0.0,100.0,C7,1300
1997-09-12Z,0.0,100.0,C7,1300
1997-09-13Z,0.0,100.0,C7,1300
1997-09-14Z,0.0,100.0,C7,1300
1997-09-15Z,20.4,100.0,C7,1300
1997-09-16Z,0.0,100.0,C7,1300
1997-09-17Z,0.0,100.0,C7,1300
1997-09-18Z,0.0,100.0,C7,1300
1997-09-19Z,0.0,100.0,C7,1300
1997-09-20Z,0.0,100.0,C7,1300
1997-09-21Z,1.8,100.0,C7,1300
1997-09-22Z,0.0,100.0,C7,1300
1997-09-23Z,0.0,100.0,C7,1300
1997-09-24Z,0.0,100.0,C7,1300
1997-09-25Z,0.0,100.0,C7,1300
1997-09-26Z,0.0,100.0,C7,1300
1997-09-27Z,0.0,100.0,C7,1300
1997-09-28Z,0.2,100.0,C7,1300
1997-09-29Z,0.0,100.0,C7,1300
1997-09-30Z,0.0,100.0,C7,1300
1997-09-01Z,22.2,100.0,C8,1300
1997-09-02Z,0.0,100.0,C8,1300
1997-09-03Z,0.0,100.0,C8,1300
1997-09-04Z,0.0,100.0,C8,1300
1997-09-05Z,0.0,100.0,C8,1300
1997-09-06Z,0.0,100.0,C8,1300
1997-09-07Z,0.0,100.0,C8,1300
1997-09-08Z,0.0,100.0,C8,1300
1997-09-09Z,0.0,100.0,C8,1300
1997-09-10Z,0.0,100.0,C8,1300
1997-09-11Z,0.0,100.0,C8,1300
1997-09-12Z,0.0,100.0,C8,1300
1997-09-13Z,0.0,100.0,C8,1300
1997-09-14Z,0.0,100.0,C8,1300
1997-09-15Z,8.4,100.0,C8,1300
1997-09-16Z,0.0,100.0,C8,1300
1997-09-17Z,0.0,100.0,C8,1300
1997-09-18Z,0.0,100.0,C8,1300
1997-09-19Z,0.0,100.0,C8,1300
1997-09-20Z,0.0,100.0,C8,1300
1997-09-21Z,0.6,100.0,C8,1300
1997-09-22Z,0.0,100.0,C8,1300
1997-09-23Z,0.0,100.0,C8,1300
1997-09-24Z,0.0,100.0,C8,1300
1997-09-25Z,0.0,100.0,C8,1300
1997-09-26Z,0.0,100.0,C8,1300
1997-09-27Z,0.0,100.0,C8,1300
1997-09-28Z,0.0,100.0,C8,1300
1997-09-29Z,0.0,100.0,C8,1300
1997-09-30Z,0.0,100.0,C8,1300
1997-09-01Z,1.6,97.9,C9,1300
1997-09-02Z,0.0,100.0,C9,1300
1997-09-03Z,0.0,100.0,C9,1300
1997-09-04Z,0.0,97.9,C9,1300
1997-09-05Z,0.0,97.9,C9,1300
1997-09-06Z,0.0,97.9,C9,1300
1997-09-07Z,0.0,100.0,C9,1300
1997-09-08Z,0.0,100.0,C9,1300
1997-09-09Z,0.0,100.0,C9,1300
1997-09-10Z,0.0,97.9,C9,1300
1997-09-11Z,0.0,100.0,C9,1300
1997-09-12Z,0.0,100.0,C9,1300
1997-09-13Z,0.2,100.0,C9,1300
1997-09-14Z,1.2,97.9,C9,1300
1997-09-15Z,15.4,100.0,C9,1300
1997-09-16Z,0.0,100.0,C9,1300
1997-09-17Z,0.0,97.9,C9,1300
1997-09-18Z,0.0,100.0,C9,1300
1997-09-19Z,0.0,100.0,C9,1300
1997-09-20Z,0.0,100.0,C9,1300
1997-09-21Z,0.0,100.0,C9,1300
1997-09-22Z,4.0,97.9,C9,1300
1997-09-23Z,0.0,100.0,C9,1300
