data,valor,percentatge,codiEstacio,codiVariable
1990-07-01Z,0.0,100,U2,1300
1990-07-02Z,0.0,100,U2,1300
1990-07-03Z,12.9,100,U2,1300
1990-07-04Z,0.0,100,U2,1300
1990-07-05Z,10.8,100,U2,1300
1990-07-06Z,8.2,100,U2,1300
1990-07-07Z,0.0,100,U2,1300
1990-07-08Z,0.0,100,U2,1300
1990-07-09Z,0.0,100,U2,1300
1990-07-10Z,0.0,100,U2,1300
1990-07-11Z,0.0,100,U2,1300
1990-07-12Z,0.0,100,U2,1300
1990-07-13Z,1.8,100,U2,1300
1990-07-14Z,0.0,100,U2,1300
1990-07-15Z,0.2,100,U2,1300
1990-07-16Z,0.0,100,U2,1300
1990-07-17Z,0.0,100,U2,1300
1990-07-18Z,0.0,100,U2,1300
1990-07-19Z,0.0,100,U2,1300
1990-07-20Z,0.0,100,U2,1300
1990-07-21Z,0.2,100,U2,1300
1990-07-22Z,0.0,100,U2,1300
1990-07-23Z,0.2,100,U2,1300
1990-07-24Z,4.0,100,U2,1300
1990-07-25Z,0.2,100,U2,1300
1990-07-26Z,0.2,100,U2,1300
1990-07-27Z,0.0,100,U2,1300
1990-07-28Z,25.4,100,U2,1300
1990-07-29Z,0.0,100,U2,1300
1990-07-30Z,0.0,100,U2,1300
1990-07-31Z,0.2,100,U2,1300
1990-07-01Z,0.0,100,U6,1300
1990-07-02Z,0.0,100,U6,1300
1990-07-03Z,0.0,100,U6,1300
1990-07-04Z,0.0,100,U6,1300
1990-07-05Z,0.0,100,U6,1300
1990-07-06Z,0.0,100,U6,1300
1990-07-07Z,0.0,100,U6,1300
1990-07-08Z,0.0,100,U6,1300
1990-07-09Z,0.0,100,U6,1300
1990-07-10Z,0.0,100,U6,1300
1990-07-11Z,0.0,100,U6,1300
1990-07-12Z,0.0,100,U6,1300
1990-07-13Z,0.0,100,U6,1300
1990-07-14Z,0.0,100,U6,1300
1990-07-15Z,0.0,100,U6,1300
1990-07-16Z,0.0,100,U6,1300
1990-07-17Z,0.0,100,U6,1300
1990-07-18Z,0.0,100,U6,1300
1990-07-19Z,0.0,100,U6,1300
1990-07-20Z,0.0,100,U6,1300
1990-07-21Z,0.0,100,U6,1300
1990-07-22Z,0.0,100,U6,1300
1990-07-23Z,0.0,100,U6,1300
1990-07-24Z,0.4,100,U6,1300
1990-07-25Z,0.0,100,U6,1300
1990-07-26Z,0.0,100,U6,1300
1990-07-27Z,0.0,100,U6,1300
1990-07-28Z,0.0,100,U6,1300
1990-07-29Z,0.0,100,U6,1300
1990-07-30Z,0.0,100,U6,1300
1990-07-31Z,0.0,100,U6,1300
1990-07-01Z,0.0,100,UB,1300
1990-07-02Z,0.0,100,UB,1300
1990-07-03Z,13.4,100,UB,1300
1990-07-04Z,0.0,100,UB,1300
1990-07-05Z,0.2,100,UB,1300
1990-07-06Z,16.4,100,UB,1300
1990-07-07Z,0.0,100,UB,1300
1990-07-08Z,0.0,100,UB,1300
1990-07-09Z,0.0,100,UB,1300
1990-07-10Z,0.0,100,UB,1300
1990-07-11Z,0.0,100,UB,1300
1990-07-12Z,0.0,100,UB,1300
1990-07-13Z,0.0,100,UB,1300
1990-07-14Z,0.0,100,UB,1300
1990-07-15Z,0.0,100,UB,1300
1990-07-16Z,0.0,100,UB,1300
1990-07-17Z,0.0,100,UB,1300
1990-07-18Z,0.0,100,UB,1300
1990-07-19Z,0.0,100,UB,1300
1990-07-20Z,0.2,100,UB,1300
1990-07-21Z,0.0,100,UB,1300
1990-07-22Z,0.2,100,UB,1300
1990-07-23Z,0.0,100,UB,1300
1990-07-24Z,0.4,100,UB,1300
1990-07-25Z,3.4,100,UB,1300
1990-07-26Z,0.2,100,UB,1300
1990-07-27Z,0.0,100,UB,1300
1990-07-28Z,38.6,100,UB,1300
1990-07-29Z,0.6,100,UB,1300
1990-07-30Z,0.0,100,UB,1300
1990-07-31Z,0.0,100,UB,1300
1990-07-01Z,0.0,100,UR,1300
1990-07-02Z,0.0,100,UR,1300
1990-07-03Z,15.6,100,UR,1300
1990-07-04Z,0.2,100,UR,1300
1990-07-05Z,0.0,100,UR,1300
1990-07-06Z,3.8,100,UR,1300
1990-07-07Z,0.0,100,UR,1300
1990-07-08Z,0.0,100,UR,1300
1990-07-09Z,0.0,100,UR,1300
1990-07-10Z,0.0,100,UR,1300
1990-07-11Z,0.0,100,UR,1300
1990-07-12Z,0.0,100,UR,1300
1990-07-13Z,0.0,100,UR,1300
1990-07-14Z,0.0,100,UR,1300
1990-07-15Z,0.0,100,UR,1300
1990-07-16Z,0.0,100,UR,1300
1990-07-17Z,0.0,100,UR,1300
1990-07-18Z,0.0,100,UR,1300
1990-07-19Z,0.0,100,UR,1300
1990-07-20Z,0.0,100,UR,1300
1990-07-21Z,0.0,100,UR,1300
1990-07-22Z,0.0,100,UR,1300
1990-07-23Z,0.0,100,UR,1300
1990-07-24Z,1.9,100,UR,1300
1990-07-25Z,0.0,100,UR,1300
1990-07-26Z,0.0,100,UR,1300
1990-07-27Z,0.0,100,UR,1300
1990-07-28Z,0.0,100,UR,1300
1990-07-29Z,0.9,100,UR,1300
1990-07-30Z,0.0,100,UR,1300
1990-07-31Z,0.0,100,UR,1300
1990-07-01Z,0.0,100,V8,1300
1990-07-02Z,0.4,100,V8,1300
1990-07-03Z,0.0,100,V8,1300
1990-07-04Z,0.0,100,V8,1300
1990-07-05Z,0.0,100,V8,1300
1990-07-06Z,0.2,100,V8,1300
1990-07-07Z,0.0,100,V8,1300
1990-07-08Z,0.0,100,V8,1300
1990-07-09Z,0.0,100,V8,1300
1990-07-10Z,0.2,100,V8,1300
1990-07-11Z,0.0,100,V8,1300
1990-07-12Z,0.0,100,V8,1300
1990-07-13Z,0.0,100,V8,1300
1990-07-14Z,0.2,100,V8,1300
1990-07-15Z,3.8,100,V8,1300
1990-07-16Z,0.2,100,V8,1300
1990-07-17Z,0.6,100,V8,1300
1990-07-18Z,0.0,100,V8,1300
1990-07-19Z,0.0,100,V8,1300
1990-07-20Z,0.0,100,V8,1300
1990-07-21Z,4.0,100,V8,1300
1990-07-22Z,0.0,100,V8,1300
1990-07-23Z,0.0,100,V8,1300
1990-07-24Z,0.0,100,V8,1300
1990-07-25Z,0.2,100,V8,1300
1990-07-26Z,0.0,100,V8,1300
1990-07-27Z,0.0,100,V8,1300
1990-07-28Z,3.4,100,V8,1300
1990-07-29Z,0.2,100,V8,1300
1990-07-30Z,0.0,100,V8,1300
1990-07-31Z,0.2,100,V8,1300
1990-07-01Z,0.0,100,VD,1300
1990-07-02Z,0.0,100,VD,1300
1990-07-03Z,0.0,100,VD,1300
1990-07-04Z,0.0,100,VD,1300
1990-07-05Z,0.0,100,VD,1300
1990-07-06Z,0.0,100,VD,1300
1990-07-07Z,0.0,100,VD,1300
1990-07-08Z,0.0,100,VD,1300
1990-07-09Z,0.0,100,VD,1300
1990-07-10Z,0.0,100,VD,1300
1990-07-11Z,0.0,100,VD,1300
1990-07-12Z,0.0,100,VD,1300
1990-07-13Z,0.0,100,VD,1300
1990-07-14Z,0.0,100,VD,1300
1990-07-15Z,31.7,100,VD,1300
1990-07-16Z,0.0,100,VD,1300
1990-07-17Z,0.0,100,VD,1300
1990-07-18Z,0.0,100,VD,1300
1990-07-19Z,0.0,100,VD,1300
1990-07-20Z,0.0,100,VD,1300
1990-07-21Z,0.0,100,VD,1300
1990-07-22Z,0.0,100,VD,1300
1990-07-23Z,0.0,100,VD,1300
1990-07-24Z,0.0,100,VD,1300
1990-07-25Z,0.0,100,VD,1300
1990-07-26Z,0.0,100,VD,1300
1990-07-27Z,0.0,100,VD,1300
1990-07-28Z,42.0,100,VD,1300
1990-07-29Z,0.0,100,VD,1300
1990-07-30Z,0.0,100,VD,1300
1990-07-31Z,0.0,100,VD,1300
1990-07-01Z,0.0,100,VI,1300
1990-07-02Z,0.0,100,VI,1300
1990-07-03Z,0.0,100,VI,1300
1990-07-04Z,0.0,100,VI,1300
1990-07-05Z,0.0,100,VI,1300
1990-07-06Z,0.0,100,VI,1300
1990-07-07Z,0.0,100,VI,1300
1990-07-08Z,0.0,100,VI,1300
1990-07-09Z,1.6,100,VI,1300
1990-07-10Z,0.0,100,VI,1300
1990-07-11Z,0.0,100,VI,1300
1990-07-12Z,0.0,100,VI,1300
1990-07-13Z,0.0,100,VI,1300
1990-07-14Z,3.6,100,VI,1300
1990-07-15Z,0.2,100,VI,1300
1990-07-16Z,0.0,100,VI,1300
1990-07-17Z,0.0,100,VI,1300
1990-07-18Z,0.0,100,VI,1300
1990-07-19Z,0.0,100,VI,1300
1990-07-20Z,0.0,100,VI,1300
1990-07-21Z,0.0,100,VI,1300
1990-07-22Z,0.0,100,VI,1300
1990-07-23Z,0.0,100,VI,1300
1990-07-24Z,0.0,100,VI,1300
1990-07-25Z,0.0,100,VI,1300
1990-07-26Z,0.0,100,VI,1300
1990-07-27Z,0.0,100,VI,1300
1990-07-28Z,2.8,100,VI,1300
1990-07-29Z,0.0,100,VI,1300
1990-07-01Z,0.0,100,VK,1300
1990-07-02Z,0.0,100,VK,1300
1990-07-03Z,0.0,100,VK,1300
1990-07-04Z,0.0,100,VK,1300
1990-07-05Z,0.0,100,VK,1300
1990-07-06Z,0.0,100,VK,1300
1990-07-07Z,0.0,100,VK,1300
1990-07-08Z,0.0,100,VK,1300
1990-07-09Z,0.0,100,VK,1300
1990-07-10Z,0.0,100,VK,1300
1990-07-11Z,0.0,100,VK,1300
1990-07-12Z,0.0,100,VK,1300
1990-07-13Z,0.0,100,VK,1300
1990-07-14Z,1.4,100,VK,1300
1990-07-15Z,0.0,100,VK,1300
1990-07-16Z,0.0,100,VK,1300
1990-07-17Z,0.0,100,VK,1300
1990-07-18Z,0.0,100,VK,1300
1990-07-19Z,0.0,100,VK,1300
1990-07-20Z,0.0,100,VK,1300
1990-07-21Z,0.0,100,VK,1300
1990-07-22Z,0.0,100,VK,1300
1990-07-23Z,0.0,100,VK,1300
1990-07-24Z,0.0,100,VK,1300
1990-07-25Z,0.0,100,VK,1300
1990-07-26Z,0.0,100,VK,1300
1990-07-27Z,0.0,100,VK,1300
1990-07-28Z,2.4,100,VK,1300
1990-07-29Z,0.0,100,VK,1300
1990-07-30Z,0.0,100,VK,1300
1990-07-31Z,0.0,100,VK,1300
1990-07-01Z,0.0,100,VQ,1300
1990-07-02Z,0.2,100,VQ,1300
1990-07-03Z,1.4,100,VQ,1300
1990-07-04Z,0.0,100,VQ,1300
1990-07-05Z,0.0,100,VQ,1300
1990-07-06Z,0.2,100,VQ,1300
1990-07-07Z,0.0,100,VQ,1300
1990-07-08Z,0.0,100,VQ,1300
1990-07-09Z,0.0,100,VQ,1300
1990-07-10Z,0.0,100,VQ,1300
1990-07-11Z,0.0,100,VQ,1300
1990-07-12Z,0.0,100,VQ,1300
1990-07-13Z,0.4,100,VQ,1300
1990-07-14Z,0.0,100,VQ,1300
1990-07-15Z,0.2,100,VQ,1300
1990-07-16Z,0.0,100,VQ,1300
1990-07-17Z,0.0,100,VQ,1300
1990-07-18Z,0.0,100,VQ,1300
1990-07-19Z,0.0,100,VQ,1300
1990-07-20Z,0.0,100,VQ,1300
1990-07-21Z,0.0,100,VQ,1300
1990-07-22Z,0.0,100,VQ,1300
1990-07-23Z,0.0,100,VQ,1300
1990-07-24Z,0.0,100,VQ,1300
1990-07-25Z,0.0,100,VQ,1300
1990-07-26Z,0.0,100,VQ,1300
1990-07-27Z,0.0,100,VQ,1300
1990-07-28Z,1.0,100,VQ,1300
1990-07-29Z,0.8,100,VQ,1300
1990-07-30Z,0.0,100,VQ,1300
1990-07-31Z,0.0,100,VQ,1300
