data,valor,percentatge,codiEstacio,codiVariable
1991-05-01Z,18.7,100,U2,1300
1991-05-02Z,0.0,100,U2,1300
1991-05-03Z,0.0,100,U2,1300
1991-05-04Z,11.4,100,U2,1300
1991-05-05Z,3.9,100,U2,1300
1991-05-06Z,0.0,100,U2,1300
1991-05-07Z,0.4,100,U2,1300
1991-05-08Z,44.0,100,U2,1300
1991-05-09Z,52.0,100,U2,1300
1991-05-10Z,0.0,100,U2,1300
1991-05-11Z,0.0,100,U2,1300
1991-05-12Z,0.0,100,U2,1300
1991-05-13Z,0.0,100,U2,1300
1991-05-14Z,0.0,100,U2,1300
1991-05-15Z,0.0,100,U2,1300
1991-05-16Z,0.0,100,U2,1300
1991-05-17Z,0.0,100,U2,1300
1991-05-18Z,0.0,100,U2,1300
1991-05-19Z,0.0,100,U2,1300
1991-05-20Z,0.0,100,U2,1300
1991-05-21Z,0.0,100,U2,1300
1991-05-22Z,0.0,100,U2,1300
1991-05-23Z,0.0,100,U2,1300
1991-05-24Z,0.0,100,U2,1300
1991-05-25Z,0.0,100,U2,1300
1991-05-26Z,0.0,100,U2,1300
1991-05-27Z,0.2,100,U2,1300
1991-05-01Z,10.5,100,U6,1300
1991-05-02Z,1.0,100,U6,1300
1991-05-03Z,0.0,100,U6,1300
1991-05-04Z,0.0,100,U6,1300
1991-05-05Z,2.8,100,U6,1300
1991-05-06Z,0.2,100,U6,1300
1991-05-07Z,0.0,100,U6,1300
1991-05-08Z,23.6,100,U6,1300
1991-05-09Z,7.9,100,U6,1300
1991-05-10Z,0.0,100,U6,1300
1991-05-11Z,0.6,100,U6,1300
1991-05-12Z,0.0,100,U6,1300
1991-05-13Z,0.0,100,U6,1300
1991-05-14Z,0.0,100,U6,1300
1991-05-15Z,0.0,100,U6,1300
1991-05-16Z,0.0,100,U6,1300
1991-05-17Z,0.0,100,U6,1300
1991-05-18Z,0.0,100,U6,1300
1991-05-19Z,0.0,100,U6,1300
1991-05-20Z,0.0,100,U6,1300
1991-05-21Z,0.0,100,U6,1300
1991-05-22Z,0.0,100,U6,1300
1991-05-23Z,0.0,100,U6,1300
1991-05-24Z,0.0,100,U6,1300
1991-05-25Z,0.0,100,U6,1300
1991-05-26Z,0.0,100,U6,1300
1991-05-27Z,0.0,100,U6,1300
1991-05-01Z,15.2,100,UB,1300
1991-05-02Z,1.2,100,UB,1300
1991-05-03Z,0.0,100,UB,1300
1991-05-04Z,21.9,100,UB,1300
1991-05-05Z,4.3,100,UB,1300
1991-05-06Z,0.8,100,UB,1300
1991-05-07Z,0.2,100,UB,1300
1991-05-08Z,37.8,100,UB,1300
1991-05-09Z,63.2,100,UB,1300
1991-05-10Z,0.2,100,UB,1300
1991-05-11Z,1.6,100,UB,1300
1991-05-12Z,0.0,100,UB,1300
1991-05-13Z,0.0,100,UB,1300
1991-05-22Z,0.0,100,UB,1300
1991-05-23Z,0.0,100,UB,1300
